close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
201935,James Harden,1610612745,HOU,G,26.0,82,82,0.567,236,618,0.382,0.371,0.01
2772,Trevor Ariza,1610612745,HOU,F,31.0,80,78,0.576,154,420,0.367,0.375,-0.008
201976,Patrick Beverley,1610612745,HOU,G,27.0,71,68,0.547,126,358,0.352,0.366,-0.014
201147,Corey Brewer,1610612745,HOU,G-F,30.0,82,81,0.586,131,353,0.371,0.366,0.005
2730,Dwight Howard,1610612745,HOU,C,30.0,70,67,0.296,95,250,0.38,0.383,-0.003
203991,Clint Capela,1610612745,HOU,F-C,22.0,77,70,0.311,83,241,0.344,0.374,-0.029
1891,Jason Terry,1610612745,HOU,G,38.0,71,66,0.587,102,237,0.43,0.371,0.06
203093,Terrence Jones,1610612745,HOU,F,24.0,49,47,0.414,80,179,0.447,0.365,0.082
2746,Josh Smith,1610612745,HOU,F,30.0,55,50,0.407,61,168,0.363,0.373,-0.01
202700,Donatas Motiejunas,1610612745,HOU,F-C,25.0,36,31,0.401,32,97,0.33,0.372,-0.042
1626149,Montrezl Harrell,1610612745,HOU,F,22.0,32,29,0.511,33,92,0.359,0.369,-0.011
201563,Michael Beasley,1610612745,HOU,F,27.0,19,18,0.438,28,64,0.438,0.372,0.066
203909,KJ McDaniels,1610612745,HOU,G-F,23.0,25,23,0.538,17,43,0.395,0.358,0.037
202726,Andrew Goudelock,1610612745,HOU,G,27.0,4,2,0.273,0,3,0.0,0.358,-0.358
1626155,Sam Dekker,1610612745,HOU,F,22.0,1,1,0.667,0,2,0.0,0.411,-0.411
