TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,TRAVEL,DOUBLE_DRIBBLE,DISCONTINUED_DRIBBLE,OFF_THREE_SEC,FIVE_SEC,EIGHT_SEC,SHOT_CLOCK,INBOUND,BACKCOURT,OFF_GOALTENDING,PALMING,OFF_FOUL,DEF_THREE_SEC,CHARGE,DELAY_OF_GAME,DEF_GOALTENDING,LANE,JUMP_BALL,KICKED_BALL,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,TRAVEL_RANK,DOUBLE_DRIBBLE_RANK,DISCONTINUED_DRIBBLE_RANK,OFF_THREE_SEC_RANK,FIVE_SEC_RANK,EIGHT_SEC_RANK,SHOT_CLOCK_RANK,INBOUND_RANK,BACKCOURT_RANK,OFF_GOALTENDING_RANK,PALMING_RANK,OFF_FOUL_RANK,DEF_THREE_SEC_RANK,CHARGE_RANK,DELAY_OF_GAME_RANK,DEF_GOALTENDING_RANK,LANE_RANK,JUMP_BALL_RANK,KICKED_BALL_RANK
1610612737,Atlanta Hawks,6,2,4,0.333,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,2.0,10,10,2,10,5,5,5,11,1,3,11,1,3,2,2,6,7,7,2,7,1,3,8
1610612738,Boston Celtics,18,9,9,0.5,17.0,0.0,2.0,3.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,4.0,7.0,3.0,6.0,0.0,1.0,11.0,1,3,16,5,1,5,1,1,1,1,6,1,3,2,1,6,1,3,3,2,1,1,1
1610612741,Chicago Bulls,6,2,4,0.333,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,10,10,2,10,9,5,5,5,1,3,5,1,8,5,2,6,10,9,10,11,1,3,8
1610612739,Cleveland Cavaliers,18,13,5,0.722,8.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,7.0,0.0,0.0,5.0,1,2,10,2,2,5,5,5,1,3,8,1,8,5,2,6,1,3,7,1,1,3,3
1610612744,Golden State Warriors,17,16,1,0.941,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,5.0,2.0,0.0,0.0,6.0,3,1,1,1,5,1,5,5,1,3,15,1,1,5,2,1,3,3,1,7,1,3,2
1610612745,Houston Rockets,11,6,5,0.545,5.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,1.0,2.0,6,6,10,3,5,5,2,11,1,3,3,1,8,5,2,1,10,9,3,6,1,1,8
1610612754,Indiana Pacers,4,0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,15,15,2,15,14,5,5,5,1,3,10,1,8,5,2,6,3,9,10,11,1,3,8
1610612746,LA Clippers,7,3,4,0.429,5.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,9,9,2,7,5,2,5,3,1,3,11,1,3,5,2,1,10,15,7,11,1,3,14
1610612763,Memphis Grizzlies,6,2,4,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,10,10,2,10,16,5,5,11,1,3,8,1,8,5,2,6,10,15,3,14,1,3,8
1610612749,Milwaukee Bucks,6,2,4,0.333,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,2.0,10,10,2,10,9,5,5,11,1,3,14,1,8,5,2,1,7,6,16,7,1,3,8
1610612760,Oklahoma City Thunder,5,1,4,0.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,14,14,2,14,12,5,5,11,1,1,15,1,8,5,2,6,10,13,7,7,1,3,16
1610612757,Portland Trail Blazers,4,0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,15,15,2,15,14,5,5,5,1,3,13,1,8,5,2,6,10,13,10,14,1,3,14
1610612759,San Antonio Spurs,16,8,8,0.5,6.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,2.0,0.0,1.0,2.0,8.0,1.0,6.0,0.0,0.0,4.0,4,4,15,5,4,2,5,5,1,3,2,1,1,1,2,1,6,2,10,2,1,3,6
1610612761,Toronto Raptors,10,4,6,0.4,3.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,1.0,5.0,0.0,0.0,3.0,8,7,12,8,12,2,5,3,1,3,6,1,3,2,2,6,3,7,10,4,1,3,7
1610612762,Utah Jazz,11,4,7,0.364,4.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,6,7,14,9,9,5,2,11,1,3,1,1,8,5,2,6,7,12,10,14,1,3,3
1610612764,Washington Wizards,13,7,6,0.538,7.0,0.0,1.0,3.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,3.0,5.0,0.0,0.0,5.0,5,5,12,4,3,5,2,1,1,3,4,1,3,5,2,6,10,1,3,4,1,3,3
