close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
1629234,Drew Eubanks,1610612757,POR,F-C,26.0,78,78,0.781,399,747,0.534,0.557,-0.023
203994,Jusuf Nurkić,1610612757,POR,C,28.0,52,52,0.824,372,695,0.535,0.567,-0.031
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,62,0.678,335,589,0.569,0.542,0.027
203924,Jerami Grant,1610612757,POR,F,29.0,63,63,0.607,224,432,0.519,0.549,-0.031
203081,Damian Lillard,1610612757,POR,G,32.0,58,58,0.652,243,420,0.579,0.546,0.033
1631101,Shaedon Sharpe,1610612757,POR,G,20.0,80,78,0.59,226,401,0.564,0.541,0.022
1630570,Trendon Watford,1610612757,POR,F,22.0,60,56,0.681,228,395,0.577,0.551,0.027
1629680,Matisse Thybulle,1610612757,POR,G-F,26.0,67,61,0.622,146,260,0.562,0.534,0.027
1629629,Cam Reddish,1610612757,POR,F-G,23.0,40,40,0.586,130,234,0.556,0.545,0.01
1629642,Nassir Little,1610612757,POR,F-G,23.0,54,54,0.601,125,226,0.553,0.547,0.006
1628995,Kevin Knox II,1610612757,POR,F,23.0,59,51,0.571,102,188,0.543,0.547,-0.004
1631133,Jabari Walker,1610612757,POR,F,20.0,51,44,0.699,102,186,0.548,0.553,-0.005
1626159,Justise Winslow,1610612757,POR,F-G,27.0,29,29,0.627,80,158,0.506,0.551,-0.045
1630553,Keon Johnson,1610612757,POR,G,21.0,32,27,0.699,60,107,0.561,0.524,0.037
1631219,John Butler Jr.,1610612757,POR,F,20.0,18,17,0.657,35,69,0.507,0.549,-0.042
1630219,Skylar Mays,1610612757,POR,G,25.0,6,6,0.623,26,43,0.605,0.559,0.046
1627853,Ryan Arcidiacono,1610612757,POR,G,29.0,14,10,0.557,16,34,0.471,0.545,-0.074
1631303,Justin Minaya,1610612757,POR,F,24.0,4,4,0.659,15,29,0.517,0.539,-0.022
1631466,Nate Williams,1610612757,POR,G,24.0,5,5,0.556,16,25,0.64,0.553,0.087
1630535,Greg Brown III,1610612757,POR,F,21.0,10,7,0.545,3,12,0.25,0.572,-0.322
1628435,Chance Comanche,1610612757,POR,C,27.0,1,1,0.4,2,2,1.0,0.526,0.475
