Season,Lg,Tm,Voting,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,award
2008-09,NBA,1st,(V),Michael Beasley,Brook Lopez,O.J. Mayo,Derrick Rose,Russell Westbrook,all_rookie_teams
2008-09,NBA,2nd,(V),Mario Chalmers,Marc Gasol,Eric Gordon,Kevin Love,D.J. Augustin Rudy Fernández (T),all_rookie_teams
2007-08,NBA,1st,(V),Kevin Durant,Jeff Green,Al Horford,Luis Scola,Al Thornton,all_rookie_teams
2007-08,NBA,2nd,(V),Carl Landry,Jamario Moon,Juan Carlos Navarro,Rodney Stuckey,Thaddeus Young,all_rookie_teams
2006-07,NBA,1st,(V),Andrea Bargnani,Randy Foye,Rudy Gay,Brandon Roy,LaMarcus Aldridge Jorge Garbajosa (T),all_rookie_teams
2006-07,NBA,2nd,(V),Paul Millsap,Adam Morrison,Craig Smith,Tyrus Thomas,Walter Herrmann Rajon Rondo Marcus Williams (T),all_rookie_teams
2005-06,NBA,1st,(V),Andrew Bogut,Channing Frye,Chris Paul,Charlie Villanueva,Deron Williams,all_rookie_teams
2005-06,NBA,2nd,(V),Raymond Felton,Ryan Gomes,Danny Granger,Luther Head,Marvin Williams,all_rookie_teams
2004-05,NBA,1st,(V),Luol Deng,Ben Gordon,Dwight Howard,Andre Iguodala,Emeka Okafor,all_rookie_teams
2004-05,NBA,2nd,(V),Josh Childress,Al Jefferson,Nenad Krstić,Jameer Nelson,Josh Smith,all_rookie_teams
2003-04,NBA,1st,(V),Carmelo Anthony,Chris Bosh,Kirk Hinrich,LeBron James,Dwyane Wade,all_rookie_teams
2003-04,NBA,2nd,(V),Marquis Daniels,T.J. Ford,Udonis Haslem,Jarvis Hayes,Josh Howard,all_rookie_teams
2002-03,NBA,1st,(V),Caron Butler,Drew Gooden,Nenê Hilário,Yao Ming,Amar'e Stoudemire,all_rookie_teams
2002-03,NBA,2nd,(V),Carlos Boozer,J.R. Bremer,Manu Ginóbili,Gordan Giriček,Jay Williams,all_rookie_teams
2001-02,NBA,1st,(V),Shane Battier,Pau Gasol,Andrei Kirilenko,Tony Parker,Jason Richardson,all_rookie_teams
2001-02,NBA,2nd,(V),Eddie Griffin,Richard Jefferson,Željko Rebrača,Jamaal Tinsley,Joe Johnson Vladimir Radmanović (T),all_rookie_teams
2000-01,NBA,1st,(V),Marc Jackson,Kenyon Martin,Darius Miles,Mike Miller,Morris Peterson,all_rookie_teams
2000-01,NBA,2nd,(V),Courtney Alexander,Marcus Fizer,Desmond Mason,Chris Mihm,Hedo Türkoğlu,all_rookie_teams
1999-00,NBA,1st,(V),Elton Brand,Steve Francis,Andre Miller,Lamar Odom,Wally Szczerbiak,all_rookie_teams
1999-00,NBA,2nd,(V),Metta World Peace,Chucky Atkins,Shawn Marion,James Posey,Jason Terry,all_rookie_teams
1998-99,NBA,1st,(V),Mike Bibby,Vince Carter,Matt Harpring,Paul Pierce,Jason Williams,all_rookie_teams
1998-99,NBA,2nd,(V),Michael Dickerson,Michael Doleac,Antawn Jamison,Cuttino Mobley,Michael Olowokandi,all_rookie_teams
1997-98,NBA,1st,(V),Tim Duncan,Zydrunas Ilgauskas,Brevin Knight,Ron Mercer,Keith Van Horn,all_rookie_teams
1997-98,NBA,2nd,(V),Derek Anderson,Cedric Henderson,Bobby Jackson,Maurice Taylor,Tim Thomas,all_rookie_teams
1996-97,NBA,1st,(V),Shareef Abdur-Rahim,Marcus Camby,Allen Iverson,Stephon Marbury,Antoine Walker,all_rookie_teams
1996-97,NBA,2nd,(V),Ray Allen,Kobe Bryant,Kerry Kittles,Travis Knight,Matt Maloney,all_rookie_teams
1995-96,NBA,1st,(V),Antonio McDyess,Joe Smith,Jerry Stackhouse,Damon Stoudamire,Michael Finley Arvydas Sabonis (T),all_rookie_teams
1995-96,NBA,2nd,(V),Brent Barry,Tyus Edney,Kevin Garnett,Bryant Reeves,Rasheed Wallace,all_rookie_teams
1994-95,NBA,1st,(V),Brian Grant,Grant Hill,Eddie Jones,Jason Kidd,Glenn Robinson,all_rookie_teams
1994-95,NBA,2nd,(V),Juwan Howard,Eric Montross,Wesley Person,Jalen Rose,Donyell Marshall Sharone Wright (T),all_rookie_teams
1993-94,NBA,1st,(V),Vin Baker,Anfernee Hardaway,Jamal Mashburn,Isaiah Rider,Chris Webber,all_rookie_teams
1993-94,NBA,2nd,(V),Shawn Bradley,Lindsey Hunter,Toni Kukoč,Dino Radja,Nick Van Exel,all_rookie_teams
1992-93,NBA,1st,(V),LaPhonso Ellis,Tom Gugliotta,Christian Laettner,Alonzo Mourning,Shaquille O'Neal,all_rookie_teams
1992-93,NBA,2nd,(V),Richard Dumas,Robert Horry,Latrell Sprewell,Clarence Weatherspoon,Walt Williams,all_rookie_teams
1991-92,NBA,1st,(V),Stacey Augmon,Larry Johnson,Dikembe Mutombo,Billy Owens,Steve Smith,all_rookie_teams
1991-92,NBA,2nd,(V),Terrell Brandon,Rick Fox,Mark Macon,Stanley Roberts,Larry Stewart,all_rookie_teams
1990-91,NBA,1st,(V),Dee Brown,Derrick Coleman,Kendall Gill,Dennis Scott,Lionel Simmons,all_rookie_teams
1990-91,NBA,2nd,(V),Mahmoud Abdul-Rauf,Willie Burton,Travis Mays,Gary Payton,Felton Spencer,all_rookie_teams
1989-90,NBA,1st,(V),Vlade Divac,Sherman Douglas,Tim Hardaway,Pooh Richardson,David Robinson,all_rookie_teams
1989-90,NBA,2nd,(V),Blue Edwards,Sean Elliott,Stacey King,J.R. Reid,Glen Rice,all_rookie_teams
1988-89,NBA,1st,(V),Willie Anderson,Hersey Hawkins,Mitch Richmond,Charles Smith,Rik Smits,all_rookie_teams
1987-88,NBA,1st,(V),Greg Anderson,Armen Gilliam,Mark Jackson,Derrick McKey,Kenny Smith,all_rookie_teams
1986-87,NBA,1st,(V),Brad Daugherty,Ron Harper,Chuck Person,Roy Tarpley,Hot Rod Williams,all_rookie_teams
1985-86,NBA,1st,(V),Joe Dumars,Patrick Ewing,Karl Malone,Xavier McDaniel,Charles Oakley,all_rookie_teams
1984-85,NBA,1st,(V),Charles Barkley,Sam Bowie,Michael Jordan,Hakeem Olajuwon,Sam Perkins,all_rookie_teams
1983-84,NBA,1st,(V),Jeff Malone,Ralph Sampson,Byron Scott,Steve Stipanovich,Thurl Bailey Darrell Walker (T),all_rookie_teams
1982-83,NBA,1st,(V),Terry Cummings,Quintin Dailey,Clark Kellogg,Dominique Wilkins,James Worthy,all_rookie_teams
1981-82,NBA,1st,(V),Jeff Ruland,Isiah Thomas,Kelly Tripucka,Jay Vincent,Buck Williams,all_rookie_teams
1980-81,NBA,1st,(V),Joe Barry Carroll,Darrell Griffith,Kevin McHale,Kelvin Ransey,Larry Smith,all_rookie_teams
1979-80,NBA,1st,(V),Larry Bird,Bill Cartwright,Dave Greenwood,Magic Johnson,Calvin Natt,all_rookie_teams
1978-79,NBA,1st,(V),Ron Brewer,Phil Ford,Reggie Theus,Mychal Thompson,Terry Tyler,all_rookie_teams
1977-78,NBA,1st,(V),Walter Davis,Marques Johnson,Bernard King,Norm Nixon,Jack Sikma,all_rookie_teams
1976-77,NBA,1st,(V),Adrian Dantley,Mitch Kupchak,Ron Lee,John Lucas,Scott May,all_rookie_teams
1975-76,NBA,1st,(V),Alvan Adams,Lionel Hollins,Joe Meriweather,John Shumate,Gus Williams,all_rookie_teams
1975-76,ABA,1st,,Ticky Burden,M.L. Carr,Kim Hughes,Mark Olberding,David Thompson,all_rookie_teams
1974-75,NBA,1st,(V),Tom Burleson,John Drew,Scott Wedman,Jamaal Wilkes,Brian Winters,all_rookie_teams
1974-75,ABA,1st,,Marvin Barnes,Gus Gerard,Bobby Jones,Billy Knight,Moses Malone,all_rookie_teams
1973-74,NBA,1st,(V),Mike Bantom,Ron Behagen,John Brown,Ernie DiGregorio,Nick Weatherspoon,all_rookie_teams
1973-74,ABA,1st,,Mike Green,Larry Kenon,Bo Lamar,Swen Nater,John Williamson,all_rookie_teams
1972-73,NBA,1st,(V),Freddie Boyd,Dwight Davis,Bob McAdoo,Lloyd Neal,Jim Price,all_rookie_teams
1972-73,ABA,1st,,Jim Chones,George Gervin,James Silas,Brian Taylor,Dennis Wuycik,all_rookie_teams
1971-72,NBA,1st,(V),Austin Carr,Phil Chenier,Clifford Ray,Elmore Smith,Sidney Wicks,all_rookie_teams
1971-72,ABA,1st,,Julius Erving,Artis Gilmore,George McGinnis,Johnny Neumann,John Roche,all_rookie_teams
1970-71,NBA,1st,(V),Dave Cowens,Bob Lanier,Pete Maravich,Calvin Murphy,Geoff Petrie,all_rookie_teams
1970-71,ABA,1st,,Joe Hamilton,Dan Issel,Wendell Ladner,Sam Robinson,Charlie Scott,all_rookie_teams
1969-70,NBA,1st,(V),Kareem Abdul-Jabbar,Bob Dandridge,Mike Davis,Dick Garrett,Jo Jo White,all_rookie_teams
1969-70,ABA,1st,,Mike Barrett,John Brisker,Mack Calvin,Spencer Haywood,Willie Wise,all_rookie_teams
1968-69,NBA,1st,(V),Gary Gregor,Art Harris,Elvin Hayes,Bill Hewitt,Wes Unseld,all_rookie_teams
1968-69,ABA,1st,,Ron Boone,Warren Jabali,Larry Miller,Gene Moore,Walt Piatkowski,all_rookie_teams
1967-68,NBA,1st,(V),Walt Frazier,Phil Jackson,Earl Monroe,Bob Rule,Al Tucker,all_rookie_teams
1967-68,ABA,1st,,Louie Dampier,Mel Daniels,Jimmy Jones,Bob Netolicky,Trooper Washington,all_rookie_teams
1966-67,NBA,1st,(V),Dave Bing,Lou Hudson,Jack Marin,Erwin Mueller,Cazzie Russell,all_rookie_teams
1965-66,NBA,1st,(V),Rick Barry,Billy Cunningham,Fred Hetzel,Dick Van Arsdale,Tom Van Arsdale,all_rookie_teams
1964-65,NBA,1st,(V),Jim Barnes,Luke Jackson,Howard Komives,Willis Reed,Joe Caldwell Wali Jones (T),all_rookie_teams
1963-64,NBA,1st,(V),Art Heyman,Gus Johnson,Jerry Lucas,Rod Thorn,Nate Thurmond,all_rookie_teams
1962-63,NBA,1st,(V),Zelmo Beaty,Dave DeBusschere,Terry Dischinger,John Havlicek,Chet Walker,all_rookie_teams
