Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999,award,Coach,W,L,W/L%,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Games
2024-25,NBA,Payton Pritchard,(V),27.0,BOS,80.0,28.4,14.3,3.8,3.5,0.9,0.2,0.472,0.407,0.845,8.6,0.183,pritcpa01,6oty,,,,,,,,,,
2023-24,NBA,Naz Reid,(V),24.0,MIN,81.0,24.2,13.5,5.2,1.3,0.8,0.9,0.477,0.414,0.736,4.9,0.12,reidna01,6oty,,,,,,,,,,
2022-23,NBA,Malcolm Brogdon,(V),30.0,BOS,67.0,26.0,14.9,4.2,3.7,0.7,0.3,0.484,0.444,0.87,5.8,0.161,brogdma01,6oty,,,,,,,,,,
2021-22,NBA,Tyler Herro,(V),22.0,MIA,66.0,32.6,20.7,5.0,4.0,0.7,0.1,0.447,0.399,0.868,3.8,0.084,herroty01,6oty,,,,,,,,,,
2020-21,NBA,Jordan Clarkson,(V),28.0,UTA,68.0,26.7,18.4,4.0,2.5,0.9,0.1,0.425,0.347,0.896,4.2,0.111,clarkjo01,6oty,,,,,,,,,,
2019-20,NBA,Montrezl Harrell,(V),26.0,LAC,63.0,27.8,18.6,7.1,1.7,0.6,1.1,0.58,0.0,0.658,7.0,0.191,harremo01,6oty,,,,,,,,,,
2018-19,NBA,Lou Williams,(V),32.0,LAC,75.0,26.6,20.0,3.0,5.4,0.8,0.1,0.425,0.361,0.876,5.1,0.123,willilo02,6oty,,,,,,,,,,
2017-18,NBA,Lou Williams,(V),31.0,LAC,79.0,32.8,22.6,2.5,5.3,1.1,0.2,0.435,0.359,0.88,6.7,0.125,willilo02,6oty,,,,,,,,,,
2016-17,NBA,Eric Gordon,(V),28.0,HOU,75.0,31.0,16.2,2.7,2.5,0.6,0.5,0.406,0.372,0.84,3.8,0.079,gordoer01,6oty,,,,,,,,,,
2015-16,NBA,Jamal Crawford,(V),35.0,LAC,79.0,26.9,14.2,1.8,2.3,0.7,0.2,0.404,0.34,0.904,3.3,0.076,crawfja01,6oty,,,,,,,,,,
2014-15,NBA,Lou Williams,(V),28.0,TOR,80.0,25.2,15.5,1.9,2.1,1.1,0.1,0.404,0.34,0.861,6.6,0.157,willilo02,6oty,,,,,,,,,,
2013-14,NBA,Jamal Crawford,(V),33.0,LAC,69.0,30.3,18.6,2.3,3.2,0.9,0.2,0.416,0.361,0.866,5.3,0.122,crawfja01,6oty,,,,,,,,,,
2012-13,NBA,J.R. Smith,(V),27.0,NYK,80.0,33.5,18.1,5.3,2.7,1.3,0.3,0.422,0.356,0.762,6.7,0.12,smithjr01,6oty,,,,,,,,,,
2011-12,NBA,James Harden,(V),22.0,OKC,62.0,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,9.3,0.23,hardeja01,6oty,,,,,,,,,,
2010-11,NBA,Lamar Odom,(V),31.0,LAL,82.0,32.2,14.4,8.7,3.0,0.6,0.7,0.53,0.382,0.675,10.1,0.184,odomla01,6oty,,,,,,,,,,
2009-10,NBA,Jamal Crawford,(V),29.0,ATL,79.0,31.1,18.0,2.5,3.0,0.8,0.2,0.449,0.382,0.857,7.3,0.143,crawfja01,6oty,,,,,,,,,,
2008-09,NBA,Jason Terry,(V),31.0,DAL,74.0,33.7,19.6,2.4,3.4,1.3,0.3,0.463,0.366,0.88,7.3,0.14,terryja01,6oty,,,,,,,,,,
