TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
1610612763,Memphis Grizzlies,MEM,4,4,0.433,13.0,41.5,0.313,0.368,-0.055
1610612747,Los Angeles Lakers,LAL,5,5,0.428,12.0,37.2,0.323,0.374,-0.051
1610612754,Indiana Pacers,IND,17,17,0.401,11.88,35.35,0.336,0.377,-0.041
1610612760,Oklahoma City Thunder,OKC,17,17,0.446,13.12,38.76,0.338,0.371,-0.033
1610612738,Boston Celtics,BOS,11,11,0.381,10.18,32.55,0.313,0.344,-0.031
1610612743,Denver Nuggets,DEN,14,14,0.398,12.07,35.29,0.342,0.37,-0.028
1610612752,New York Knicks,NYK,18,18,0.428,12.83,36.28,0.354,0.367,-0.014
1610612750,Minnesota Timberwolves,MIN,15,15,0.42,12.53,35.13,0.357,0.366,-0.009
1610612745,Houston Rockets,HOU,7,7,0.498,15.43,43.14,0.358,0.362,-0.004
1610612765,Detroit Pistons,DET,6,6,0.343,11.0,30.17,0.365,0.366,-0.001
1610612753,Orlando Magic,ORL,5,5,0.4,11.8,31.2,0.378,0.368,0.01
1610612739,Cleveland Cavaliers,CLE,9,9,0.431,13.78,35.89,0.384,0.371,0.013
1610612744,Golden State Warriors,GSW,12,12,0.367,11.42,30.25,0.377,0.364,0.014
1610612746,LA Clippers,LAC,7,7,0.34,11.29,29.0,0.389,0.371,0.018
1610612749,Milwaukee Bucks,MIL,5,5,0.419,14.4,36.6,0.393,0.374,0.019
1610612748,Miami Heat,MIA,4,4,0.512,19.25,43.75,0.44,0.381,0.059
