player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,10,7,3,0.7,29.94333333333333,8.0,4.8,6.4,6.4,12.8,4.8,9.6,35.3,1.6,0.0,1.6,1.6,28.2,56,37,53,25,162,5,23,6,99,88,31,51,179,40,1,30,157,161
1629655,Daniel Gafford,Daniel,1610612742,DAL,25.0,22,13,9,0.591,445.2583333333333,1.3,5.3,1.6,16.8,15.4,13.9,12.0,41.8,3.6,1.1,4.1,5.6,50.0,1,8,200,48,26,144,17,109,18,143,153,102,122,7,146,124,39,37
203957,Danté Exum,Danté,1610612742,DAL,28.0,21,12,9,0.571,143.64166666666668,2.3,1.0,1.7,5.3,14.7,10.7,10.0,33.4,0.3,1.0,3.0,2.0,29.5,7,15,200,63,99,98,138,106,125,126,91,62,190,127,142,80,144,155
1641726,Dereck Lively II,Dereck,1610612742,DAL,20.0,21,13,8,0.619,461.69666666666666,2.6,3.1,1.8,13.1,14.3,8.3,12.8,39.9,2.1,1.2,5.0,5.3,47.7,7,8,198,34,25,83,60,101,33,118,52,113,147,25,158,163,48,46
1627884,Derrick Jones Jr.,Derrick,1610612742,DAL,27.0,22,13,9,0.591,646.695,1.8,1.5,2.6,7.7,14.0,12.1,10.2,45.6,1.6,1.1,4.0,2.2,30.4,1,8,200,48,9,125,123,66,85,107,117,65,77,43,150,123,136,149
203939,Dwight Powell,Dwight,1610612742,DAL,32.0,13,8,5,0.615,44.45,0.0,0.0,2.2,2.2,11.9,7.6,4.3,34.6,0.0,0.0,9.7,3.2,26.9,35,24,161,35,150,157,153,87,167,66,45,20,181,142,1,209,97,172
1630702,Jaden Hardy,Jaden,1610612742,DAL,21.0,19,11,8,0.579,128.915,1.5,1.5,2.2,11.2,17.5,4.5,17.9,40.2,0.0,1.5,4.8,4.5,46.7,9,16,198,62,104,135,122,84,48,170,30,191,143,142,173,154,59,52
1630182,Josh Green,Josh,1610612742,DAL,23.0,22,13,9,0.591,398.66,2.5,1.9,1.7,3.1,15.9,9.9,14.0,36.8,0.4,0.5,3.5,2.2,31.8,1,8,200,48,33,90,99,105,157,147,77,140,172,123,86,99,140,140
202681,Kyrie Irving,Kyrie,1610612742,DAL,32.0,22,13,9,0.591,879.2933333333333,4.4,3.4,2.9,10.6,14.1,11.0,10.3,41.8,0.4,1.6,3.4,3.2,43.3,1,8,200,48,2,30,48,54,54,113,104,68,124,121,177,92,100,72
1629029,Luka Dončić,Luka,1610612742,DAL,25.0,22,13,9,0.591,899.455,4.5,2.1,2.7,12.2,15.3,10.9,12.0,43.0,0.4,0.6,3.0,7.6,64.5,1,8,200,48,1,29,94,63,36,139,102,101,107,116,97,77,19,8
202693,Markieff Morris,Markieff,1610612742,DAL,34.0,1,1,0,1.0,12.0,0.0,12.0,0.0,0.0,12.0,8.0,16.0,32.0,0.0,0.0,4.0,0.0,27.2,205,136,1,1,185,157,1,145,183,68,49,173,196,142,1,122,183,171
1628467,Maxi Kleber,Maxi,1610612742,DAL,32.0,13,6,7,0.462,218.75666666666663,2.6,1.1,0.2,1.8,12.5,9.7,11.0,35.5,0.9,0.7,4.4,2.2,24.9,35,51,184,91,61,80,134,144,173,76,74,85,176,81,101,135,139,181
1641765,Olivier-Maxence Prosper,Olivier-Maxence,1610612742,DAL,21.0,3,1,2,0.333,8.926666666666666,0.0,0.0,0.0,0.0,16.1,0.0,21.5,32.3,0.0,5.4,0.0,5.4,27.4,171,136,25,113,199,157,153,145,183,153,1,208,194,142,212,1,47,168
1629023,P.J. Washington,P.J.,1610612742,DAL,25.0,22,13,9,0.591,784.6,3.1,3.1,2.9,6.1,14.7,10.8,11.8,44.2,1.0,0.7,4.1,2.6,35.1,1,8,200,48,3,61,59,58,106,127,97,99,89,69,110,125,123,118
203501,Tim Hardaway Jr.,Tim,1610612742,DAL,32.0,14,8,6,0.571,177.70833333333334,1.9,1.6,1.9,4.3,18.6,15.4,12.4,39.4,0.3,0.8,2.7,1.9,30.9,34,24,172,63,79,118,118,98,140,177,171,108,152,135,120,66,149,144
