group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
,2738,Andre Iguodala,,1610612744,GSW,32.0,9,6,3,0.667,3.5,0.444,0.556,0.4,0.0,0.6,0.0,0.0,0.0,0.4,0.5,0.5,1.0,0.0,0.75,0.25,4,9,0.444,3,5,89,27,51,72,27,47,25,11,24,46,36,36,20,36,1,9,28,44,11,17,40
,101106,Andrew Bogut,,1610612744,GSW,31.0,2,2,0,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,78,31,1,1,104,85,68,63,25,33,24,46,36,55,33,47,30,9,52,47,74,99,74
,203110,Draymond Green,,1610612744,GSW,26.0,9,6,3,0.667,4.0,0.9,0.1,0.8,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.0,0.0,1.0,0.0,4,10,0.4,3,5,89,27,29,32,66,26,25,33,24,36,36,20,1,47,30,9,1,47,11,12,45
,203105,Festus Ezeli,,1610612744,GSW,26.0,3,2,1,0.667,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,49,31,19,27,101,85,68,63,25,33,24,46,36,55,33,47,30,9,52,47,74,99,74
,203084,Harrison Barnes,,1610612744,GSW,24.0,7,5,2,0.714,3.5,0.8,0.2,0.571,0.0,0.429,0.286,0.0,0.286,0.571,1.0,0.0,1.0,0.0,1.0,0.0,3,5,0.6,20,10,69,25,53,43,55,36,25,20,12,46,21,27,1,47,1,9,1,47,19,28,19
,203546,Ian Clark,,1610612744,GSW,25.0,1,0,1,0.0,3.8,0.667,0.333,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,2,3,0.667,98,99,19,99,37,49,44,1,25,33,6,46,11,1,20,36,30,9,33,34,28,47,15
,202691,Klay Thompson,,1610612744,GSW,26.0,9,6,3,0.667,4.0,0.455,0.545,0.25,0.0,0.375,0.625,0.375,0.5,0.25,1.0,0.0,1.0,0.0,1.0,0.0,2,11,0.182,3,5,89,27,29,71,28,58,25,24,5,24,11,46,1,47,1,9,1,47,28,11,73
,2571,Leandro Barbosa,,1610612744,GSW,33.0,1,1,0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,98,60,1,1,125,85,68,63,25,33,24,46,36,55,33,47,30,9,52,47,74,99,74
,201578,Marreese Speights,,1610612744,GSW,28.0,2,0,2,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,78,99,69,99,123,85,1,63,25,33,24,46,36,55,33,47,30,9,52,47,74,76,74
,2733,Shaun Livingston,,1610612744,GSW,30.0,3,2,1,0.667,2.7,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,2,4,0.5,49,31,19,27,79,1,68,1,5,33,24,46,11,29,20,36,30,9,33,34,28,34,24
,201939,Stephen Curry,,1610612744,GSW,28.0,7,5,2,0.714,4.0,0.385,0.615,0.233,0.047,0.628,0.209,0.139,0.163,0.186,0.2,0.8,0.222,0.778,0.214,0.786,14,26,0.538,20,10,69,25,27,73,26,61,24,10,18,43,29,50,31,32,29,4,48,26,2,2,22
