group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
,2548,Dwyane Wade,,1610612748,MIA,34.0,8,3,5,0.375,44.0,0.385,0.556,0.446,0.4,0.235,0.36,0.313,0.143,0.147,0.146,0.8,0.2,0.5,0.429,0.333,0.136,0.304,0.488,9,21,122,76,1,10,11,9,16,40,17,25,43,66,68,8,98,9,17,111,67,28,13
,101123,Gerald Green,,1610612748,MIA,30.0,3,0,3,0.0,3.0,0.143,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,99,89,99,106,65,74,49,33,68,46,49,48,8,28,45,1,36,32,1,123,64,83
,201609,Goran Dragic,,1610612748,MIA,30.0,7,3,4,0.429,27.0,0.186,0.25,0.205,0.667,0.273,0.071,0.056,0.167,0.105,0.12,0.0,0.333,0.0,0.0,0.333,0.167,0.077,0.224,20,21,114,66,18,50,30,48,6,30,43,48,39,75,73,45,108,36,32,111,72,61,37
,202355,Hassan Whiteside,,1610612748,MIA,27.0,5,2,3,0.4,22.0,0.174,0.077,0.088,0.0,0.0,0.286,0.462,0.5,0.368,0.391,0.0,0.333,0.5,0.0,0.333,0.286,0.333,0.111,34,31,89,68,29,55,67,85,33,68,22,15,12,23,24,45,108,9,32,111,93,18,62
,2207,Joe Johnson,,1610612748,MIA,35.0,8,3,5,0.375,41.0,0.2,0.111,0.197,0.0,0.25,0.333,0.3,0.167,0.281,0.263,0.2,0.0,0.25,0.286,0.0,0.05,0.318,0.169,9,21,122,76,3,43,59,55,33,33,18,27,39,35,33,33,1,26,24,1,52,27,48
,1626196,Josh Richardson,,1610612748,MIA,22.0,8,3,5,0.375,20.0,0.143,0.0,0.154,0.0,0.333,0.2,0.222,0.0,0.111,0.105,0.0,0.0,0.0,0.333,0.0,0.188,0.167,0.065,9,21,122,76,32,65,74,65,33,20,33,35,48,74,75,45,1,36,20,1,82,46,76
,1626159,Justise Winslow,,1610612748,MIA,20.0,6,2,4,0.333,13.0,0.05,0.143,0.071,0.0,0.0,0.0,0.0,0.5,0.143,0.222,0.0,0.0,0.0,0.0,0.0,0.2,0.111,0.08,26,31,114,81,48,103,50,92,33,68,46,49,12,67,49,45,1,36,32,1,83,56,74
,2736,Luol Deng,,1610612748,MIA,31.0,7,3,4,0.429,40.0,0.091,0.077,0.063,0.2,0.176,0.087,0.067,0.143,0.156,0.154,0.0,0.333,0.0,0.143,0.0,0.278,0.091,0.088,20,21,114,66,4,87,67,96,23,47,41,46,43,64,66,45,108,36,30,1,92,57,71
,204020,Tyler Johnson,,1610612748,MIA,24.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,98,99,19,99,118,107,74,99,33,68,46,49,48,83,88,45,1,36,32,1,98,64,83
,2617,Udonis Haslem,,1610612748,MIA,36.0,6,2,4,0.333,9.0,0.118,0.2,0.167,0.0,0.0,0.0,0.0,0.0,0.286,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.125,26,31,114,81,58,80,41,57,33,68,46,49,48,33,35,45,1,36,32,1,111,64,57
