GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,203083,Andre Drummond,Andre,1610612765,DET,22.0,36,20,16,0.556,126.18166666666669,7.1,11.4,0.625,0.0,0.0,0.0,6.0,16.0,0.375,6.0,9.7,15.7,0.3,1.4,2.3,1.4,1.1,2.3,9.7,20.3,8.0,49.2,32,0,43.7,59,45,97,142,59,73,164,54,209,275,209,89,19,293,21,25,16,283,167,32,83,88,337,25,82,129,34,2,13,41
Players,201229,Anthony Tolliver,Anthony,1610612765,DET,31.0,21,13,8,0.619,61.45666666666666,1.2,4.7,0.25,1.2,4.7,0.25,0.0,0.0,0.0,1.2,2.9,4.1,0.6,0.6,1.2,0.0,0.0,1.8,0.0,3.5,1.8,12.2,0,0,11.7,188,129,215,95,170,326,335,298,134,133,140,299,312,299,182,290,283,273,262,103,200,206,360,326,351,189,364,190,13,365
Players,203382,Aron Baynes,Aron,1610612765,DET,29.0,23,15,8,0.652,40.06166666666667,1.8,3.6,0.5,0.0,0.0,0.0,5.4,5.4,1.0,1.8,8.1,9.9,0.0,0.0,0.0,0.0,0.0,3.6,6.3,9.0,31.5,20.8,1,0,18.9,173,109,215,79,217,299,358,98,209,275,209,104,163,1,141,56,78,287,282,237,200,206,262,70,257,38,280,125,13,291
Players,203946,Cameron Bairstow,Cameron,1610612765,DET,25.0,1,0,1,0.0,1.25,28.8,28.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,57.6,86.4,57.6,0,0,57.6,404,408,363,408,405,3,8,1,209,275,209,299,312,299,270,356,370,287,282,237,200,206,8,326,3,12,13,190,13,11
Players,1626199,Darrun Hilliard,Darrun,1610612765,DET,23.0,3,1,2,0.333,0.8733333333333333,0.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,0.0,0.0,-206.1,0.0,0,0,0.0,357,362,329,330,408,342,4,342,209,275,209,299,312,299,270,356,370,287,282,237,200,206,4,326,359,430,400,190,13,400
Players,201975,Jodie Meeks,Jodie,1610612765,DET,28.0,1,1,0,1.0,3.53,10.2,20.4,0.5,0.0,10.2,0.0,20.4,20.4,1.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,10.2,40.8,51.0,56.1,0,0,51.0,404,362,407,1,381,27,33,98,209,21,209,6,9,1,270,356,370,7,282,237,200,206,375,18,9,24,17,190,13,24
Players,201202,Joel Anthony,Joel,1610612765,DET,33.0,2,2,0,1.0,7.903333333333333,4.6,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.1,0.0,0.0,0.0,9.1,0.0,0.0,4.6,9.1,0.0,47.4,0,0,36.4,374,326,407,1,347,164,338,1,209,275,209,299,312,299,270,35,93,287,282,237,4,206,375,123,255,206,39,190,13,91
Players,203484,Kentavious Caldwell-Pope,Kentavious,1610612765,DET,23.0,36,23,13,0.639,149.26,3.1,8.7,0.361,1.7,5.3,0.318,2.4,3.6,0.667,0.2,2.9,3.1,0.2,0.7,1.2,0.5,0.0,4.6,2.4,10.4,15.4,18.8,1,0,18.8,59,19,140,86,33,236,231,231,91,117,111,232,232,211,266,292,326,285,247,100,167,206,184,244,231,90,303,125,13,293
Players,202694,Marcus Morris Sr.,Marcus,1610612765,DET,26.0,38,24,14,0.632,157.48,2.5,7.5,0.333,0.7,2.7,0.25,2.3,3.9,0.588,0.5,4.8,5.3,1.1,0.7,0.9,0.2,0.5,4.6,3.2,8.0,12.8,18.8,3,0,17.4,38,14,125,92,22,271,262,255,173,202,140,237,218,245,255,178,229,237,251,149,193,172,185,195,277,103,305,93,13,312
Players,203493,Reggie Bullock Jr.,Reggie,1610612765,DET,25.0,2,2,0,1.0,12.166666666666666,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,14.8,20.4,0,0,14.8,374,326,407,1,311,342,368,342,209,197,209,299,312,299,270,129,210,107,282,22,200,206,308,326,359,93,284,190,13,334
