season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,game_no,pf,opp_pf,wl,differential
2016-17,1610612737,21600014,2016-10-27,WAS,ATL,WAS,1610612764,1,114,99,W,15
2016-17,1610612737,21600026,2016-10-29,ATL,PHI,PHI,1610612755,2,104,72,W,32
2016-17,1610612737,21600044,2016-10-31,SAC,ATL,SAC,1610612758,3,106,95,W,11
2016-17,1610612737,21600059,2016-11-02,LAL,ATL,LAL,1610612747,4,116,123,L,-7
2016-17,1610612737,21600070,2016-11-04,ATL,WAS,WAS,1610612764,5,92,95,L,-3
2016-17,1610612737,21600084,2016-11-05,HOU,ATL,HOU,1610612745,6,112,97,W,15
2016-17,1610612737,21600100,2016-11-08,ATL,CLE,CLE,1610612739,7,110,106,W,4
2016-17,1610612737,21600111,2016-11-09,CHI,ATL,CHI,1610612741,8,115,107,W,8
2016-17,1610612737,21600132,2016-11-12,PHI,ATL,PHI,1610612755,9,117,96,W,21
2016-17,1610612737,21600154,2016-11-15,ATL,MIA,MIA,1610612748,10,93,90,W,3
2016-17,1610612737,21600163,2016-11-16,MIL,ATL,MIL,1610612749,11,107,100,W,7
2016-17,1610612737,21600174,2016-11-18,ATL,CHA,CHA,1610612766,12,96,100,L,-4
2016-17,1610612737,21600193,2016-11-20,ATL,NYK,NYK,1610612752,13,94,104,L,-10
2016-17,1610612737,21600209,2016-11-22,NOP,ATL,NOP,1610612740,14,94,112,L,-18
2016-17,1610612737,21600216,2016-11-23,ATL,IND,IND,1610612754,15,96,85,W,11
2016-17,1610612737,21600231,2016-11-25,ATL,UTA,UTA,1610612762,16,68,95,L,-27
2016-17,1610612737,21600252,2016-11-27,ATL,LAL,LAL,1610612747,17,94,109,L,-15
2016-17,1610612737,21600259,2016-11-28,ATL,GSW,GSW,1610612744,18,100,105,L,-5
2016-17,1610612737,21600274,2016-11-30,ATL,PHX,PHX,1610612756,19,107,109,L,-2
2016-17,1610612737,21600288,2016-12-02,DET,ATL,DET,1610612765,20,85,121,L,-36
2016-17,1610612737,21600293,2016-12-03,ATL,TOR,TOR,1610612761,21,84,128,L,-44
2016-17,1610612737,21600307,2016-12-05,OKC,ATL,OKC,1610612760,22,99,102,L,-3
2016-17,1610612737,21600324,2016-12-07,MIA,ATL,MIA,1610612748,23,103,95,W,8
2016-17,1610612737,21600340,2016-12-09,ATL,MIL,MIL,1610612749,24,114,110,W,4
2016-17,1610612737,21600369,2016-12-13,ORL,ATL,ORL,1610612753,25,120,131,L,-11
2016-17,1610612737,21600392,2016-12-16,ATL,TOR,TOR,1610612761,26,125,121,W,4
2016-17,1610612737,21600401,2016-12-17,CHA,ATL,CHA,1610612766,27,99,107,L,-8
2016-17,1610612737,21600415,2016-12-19,ATL,OKC,OKC,1610612760,28,110,108,W,2
2016-17,1610612737,21600430,2016-12-21,MIN,ATL,MIN,1610612750,29,84,92,L,-8
2016-17,1610612737,21600451,2016-12-23,ATL,DEN,DEN,1610612743,30,109,108,W,1
2016-17,1610612737,21600468,2016-12-26,ATL,MIN,MIN,1610612750,31,90,104,L,-14
2016-17,1610612737,21600478,2016-12-28,NYK,ATL,NYK,1610612752,32,102,98,W,4
2016-17,1610612737,21600498,2016-12-30,DET,ATL,DET,1610612765,33,105,98,W,7
2016-17,1610612737,21600508,2017-01-01,SAS,ATL,SAS,1610612759,34,114,112,W,2
2016-17,1610612737,21600530,2017-01-04,ATL,ORL,ORL,1610612753,35,111,92,W,19
2016-17,1610612737,21600539,2017-01-05,ATL,NOP,NOP,1610612740,36,99,94,W,5
2016-17,1610612737,21600557,2017-01-07,ATL,DAL,DAL,1610612742,37,97,82,W,15
2016-17,1610612737,21600573,2017-01-10,ATL,BKN,BKN,1610612751,38,117,97,W,20
2016-17,1610612737,21600597,2017-01-13,BOS,ATL,BOS,1610612738,39,101,103,L,-2
