season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2018-19,1628390,Terrance Ferguson,Terrance,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,30.716666666666665,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,1,1,0,0,0,3,0,3,-4,7.1,0,0,8.0,1,883,883,883,564,1172,1496,1,511,1055,1,937,995,937,870,690,870,825,563,754,525,1,1078,1218,1240,1126,1331,157,16,1258,1,30:43,2018,2019
2018-19,203457,Nerlens Noel,Nerlens,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,8.333333333333334,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,1,2,1,3.4,0,0,4.0,1,883,883,883,1445,1172,1151,1256,875,1297,875,937,995,937,431,1164,1067,1186,563,754,525,1,1,839,1329,745,1488,157,16,1434,1,8:20,2018,2019
2018-19,101109,Raymond Felton,Raymond,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,3.401666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,1,2.0,0,0,2.0,1,883,883,883,1602,1172,1368,475,875,1055,875,937,995,937,870,1456,1519,1186,1012,754,525,1,1,839,1329,745,1560,157,16,1538,1,3:24,2018,2019
2018-19,203471,Dennis Schröder,Dennis,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,33.38333333333333,7,10,0.7,2,3,0.667,1,2,0.5,0,2,2,3,1,0,0,1,1,1,17,-11,22.9,0,0,24.0,1,883,883,883,425,236,512,154,279,663,111,711,547,729,870,905,1067,393,563,754,525,1203,375,839,331,1473,685,157,16,595,1,33:23,2018,2019
2018-19,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,29.201666666666668,5,8,0.625,0,0,0.0,0,1,0.0,0,4,4,2,0,0,3,1,4,2,10,-1,26.8,0,0,22.0,1,883,883,883,648,435,702,250,875,1297,875,937,902,937,870,499,680,552,1012,754,24,1203,1402,567,691,918,540,157,16,672,1,29:12,2018,2019
2018-19,202331,Paul George,Paul,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,42.365,14,20,0.7,3,8,0.375,5,8,0.625,1,8,9,3,5,0,0,0,5,8,36,6,46.3,0,0,51.0,1,883,883,883,64,12,99,154,110,103,495,168,90,710,431,103,166,393,27,754,525,1,1628,40,24,428,132,157,16,72,1,42:22,2018,2019
2018-19,202693,Markieff Morris,Markieff,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,3.5166666666666666,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,-4,0.0,0,0,0.0,1,883,883,883,1596,1436,1368,1436,875,1055,875,937,995,937,870,1456,1519,1186,1012,754,525,1203,375,1218,1488,1126,1652,157,16,1655,1,3:31,2018,2019
2018-19,203924,Jerami Grant,Jerami,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,44.48333333333333,7,8,0.875,2,2,1.0,0,1,0.0,2,5,7,1,2,0,3,0,3,2,16,1,32.9,0,0,32.0,1,883,883,883,34,236,702,73,279,854,1,937,902,937,201,348,309,825,282,754,24,1,1078,567,381,745,375,157,16,351,1,44:29,2018,2019
2018-19,201566,Russell Westbrook,Russell,1610612760,OKC,Oklahoma City Thunder,41800165,2019-04-23T00:00:00,OKC @ POR,L,44.598333333333336,11,31,0.355,4,11,0.364,3,3,1.0,2,10,12,14,5,4,2,2,5,3,29,-4,77.4,1,1,71.0,1,883,883,883,30,46,6,1031,52,37,510,331,465,1,201,40,51,1,27,8,66,1588,1628,378,80,1126,3,1,1,5,1,44:36,2018,2019
2018-19,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,41800164,2019-04-21T00:00:00,OKC vs. POR,L,28.586666666666662,3,6,0.5,0,0,0.0,0,0,0.0,1,6,7,1,1,1,1,2,1,3,6,-21,20.9,0,0,18.0,1,883,883,883,667,732,914,475,875,1297,875,937,995,937,431,247,309,825,563,280,174,1588,375,378,968,1690,766,157,16,827,1,28:35,2018,2019
