SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22023,1610612758,SAC,Sacramento Kings,OffRebound,Defensive,1.0,81,0.044,1.033,0.525,0.113,0.074,0.1,0.02,0.519,0.529,4.8,5.0,2.1,4.0,1.9
22023,1610612750,MIN,Minnesota Timberwolves,OffRebound,Defensive,0.828,82,0.049,1.064,0.524,0.13,0.057,0.124,0.039,0.538,0.527,5.3,5.7,2.4,4.5,2.2
22023,1610612741,CHI,Chicago Bulls,OffRebound,Defensive,0.655,82,0.05,1.095,0.571,0.148,0.08,0.137,0.022,0.569,0.577,5.5,6.0,2.5,4.4,1.9
22023,1610612740,NOP,New Orleans Pelicans,OffRebound,Defensive,0.69,81,0.052,1.073,0.538,0.145,0.071,0.13,0.015,0.553,0.539,5.7,6.1,2.5,4.6,2.1
22023,1610612739,CLE,Cleveland Cavaliers,OffRebound,Defensive,0.931,82,0.054,1.035,0.539,0.105,0.091,0.095,0.021,0.519,0.545,5.9,6.1,2.6,4.9,2.2
22023,1610612743,DEN,Denver Nuggets,OffRebound,Defensive,0.897,82,0.055,1.041,0.536,0.106,0.067,0.102,0.02,0.532,0.54,6.0,6.2,2.7,5.0,2.3
22023,1610612749,MIL,Milwaukee Bucks,OffRebound,Defensive,0.552,81,0.05,1.114,0.571,0.096,0.081,0.096,0.028,0.551,0.576,5.6,6.3,2.7,4.8,2.1
22023,1610612755,PHI,Philadelphia 76ers,OffRebound,Defensive,0.724,82,0.053,1.071,0.557,0.123,0.098,0.113,0.025,0.538,0.565,5.8,6.2,2.6,4.7,2.1
22023,1610612765,DET,Detroit Pistons,OffRebound,Defensive,0.276,82,0.048,1.166,0.573,0.157,0.048,0.141,0.032,0.592,0.577,5.4,6.2,2.5,4.4,1.9
22023,1610612753,ORL,Orlando Magic,OffRebound,Defensive,0.172,82,0.05,1.175,0.61,0.132,0.075,0.121,0.032,0.595,0.617,5.4,6.3,2.7,4.4,1.7
22023,1610612748,MIA,Miami Heat,OffRebound,Defensive,0.138,82,0.05,1.188,0.606,0.135,0.071,0.133,0.039,0.594,0.614,5.3,6.3,2.7,4.4,1.7
22023,1610612756,PHX,Phoenix Suns,OffRebound,Defensive,0.759,81,0.054,1.068,0.555,0.109,0.074,0.107,0.029,0.533,0.558,6.0,6.4,2.8,5.1,2.3
22023,1610612747,LAL,Los Angeles Lakers,OffRebound,Defensive,0.621,81,0.051,1.104,0.567,0.11,0.07,0.106,0.021,0.549,0.574,5.8,6.4,2.8,4.9,2.1
22023,1610612752,NYK,New York Knicks,OffRebound,Defensive,0.966,81,0.058,1.034,0.534,0.135,0.079,0.131,0.03,0.525,0.535,6.2,6.4,2.7,5.1,2.4
22023,1610612763,MEM,Memphis Grizzlies,OffRebound,Defensive,0.862,82,0.055,1.062,0.543,0.121,0.091,0.117,0.03,0.527,0.552,6.1,6.4,2.7,5.0,2.3
22023,1610612745,HOU,Houston Rockets,OffRebound,Defensive,0.793,82,0.054,1.066,0.545,0.139,0.076,0.131,0.034,0.539,0.549,6.1,6.5,2.7,5.0,2.3
22023,1610612757,POR,Portland Trail Blazers,OffRebound,Defensive,0.379,82,0.052,1.142,0.576,0.137,0.064,0.131,0.032,0.579,0.576,5.7,6.5,2.7,4.7,2.0
22023,1610612751,BKN,Brooklyn Nets,OffRebound,Defensive,0.586,82,0.056,1.112,0.556,0.116,0.072,0.112,0.024,0.551,0.561,6.1,6.8,2.8,5.1,2.3
22023,1610612744,GSW,Golden State Warriors,OffRebound,Defensive,0.345,82,0.054,1.148,0.582,0.134,0.081,0.119,0.032,0.569,0.589,6.0,6.9,2.9,4.9,2.1
22023,1610612762,UTA,Utah Jazz,OffRebound,Defensive,0.31,82,0.053,1.157,0.582,0.106,0.061,0.1,0.035,0.574,0.59,6.0,6.9,3.0,5.2,2.2
22023,1610612738,BOS,Boston Celtics,OffRebound,Defensive,0.483,81,0.056,1.136,0.591,0.118,0.082,0.112,0.024,0.579,0.592,6.2,7.0,3.0,5.1,2.1
22023,1610612742,DAL,Dallas Mavericks,OffRebound,Defensive,0.414,82,0.055,1.139,0.597,0.143,0.09,0.128,0.033,0.57,0.598,6.2,7.1,3.0,5.0,2.0
22023,1610612737,ATL,Atlanta Hawks,OffRebound,Defensive,0.207,82,0.054,1.175,0.599,0.127,0.072,0.124,0.034,0.59,0.607,6.1,7.1,3.0,5.1,2.0
22023,1610612759,SAS,San Antonio Spurs,OffRebound,Defensive,0.103,82,0.053,1.189,0.605,0.11,0.057,0.1,0.02,0.596,0.608,6.0,7.1,3.1,5.1,2.0
22023,1610612746,LAC,LA Clippers,OffRebound,Defensive,0.448,82,0.057,1.139,0.579,0.116,0.058,0.11,0.039,0.571,0.582,6.3,7.2,3.2,5.5,2.3
