close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
1641744,Zach Edey,1610612763,MEM,C,23.0,4,4,0.375,15,27,0.556,0.613,-0.058
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,25.0,4,4,0.386,12,22,0.545,0.61,-0.064
1630590,Scotty Pippen Jr.,1610612763,MEM,G,24.0,4,4,0.393,14,22,0.636,0.602,0.034
1630583,Santi Aldama,1610612763,MEM,F-C,24.0,4,4,0.396,9,19,0.474,0.606,-0.132
1628379,Luke Kennard,1610612763,MEM,G,28.0,4,4,0.469,9,15,0.6,0.608,-0.008
1630217,Desmond Bane,1610612763,MEM,G,26.0,4,4,0.313,9,15,0.6,0.602,-0.002
1629723,John Konchar,1610612763,MEM,G,29.0,4,3,0.419,9,13,0.692,0.6,0.092
1629630,Ja Morant,1610612763,MEM,G,25.0,3,3,0.393,7,11,0.636,0.59,0.046
1631246,Vince Williams Jr.,1610612763,MEM,G,24.0,3,3,0.5,4,9,0.444,0.597,-0.152
1630643,Jay Huff,1610612763,MEM,C,27.0,2,2,0.5,2,6,0.333,0.617,-0.284
1628963,Marvin Bagley III,1610612763,MEM,F,26.0,2,2,0.286,3,4,0.75,0.605,0.146
