close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
203994,Jusuf Nurkić,1610612757,POR,C,27.0,56,56,1.0,392,773,0.507,0.496,0.011
1628404,Josh Hart,1610612757,POR,G,27.0,54,54,1.0,358,751,0.477,0.458,0.018
1629234,Drew Eubanks,1610612757,POR,F-C,25.0,70,70,1.0,334,682,0.49,0.481,0.009
1629014,Anfernee Simons,1610612757,POR,G,23.0,57,57,1.0,324,619,0.523,0.457,0.066
202339,Eric Bledsoe,1610612757,POR,G,32.0,54,54,1.0,227,496,0.458,0.455,0.002
1629642,Nassir Little,1610612757,POR,F-G,22.0,42,42,1.0,199,482,0.413,0.457,-0.044
1630570,Trendon Watford,1610612757,POR,F,21.0,48,48,1.0,210,422,0.498,0.475,0.023
1629604,CJ Elleby,1610612757,POR,F-G,22.0,52,52,1.0,199,419,0.475,0.459,0.016
203463,Ben McLemore,1610612757,POR,G,29.0,62,62,1.0,209,406,0.515,0.455,0.06
203081,Damian Lillard,1610612757,POR,G,31.0,29,29,1.0,166,351,0.473,0.459,0.014
204060,Joe Ingles,1610612757,POR,F-G,34.0,45,45,1.0,140,313,0.447,0.449,-0.001
1626159,Justise Winslow,1610612757,POR,F-G,26.0,42,42,1.0,130,305,0.426,0.46,-0.034
1630535,Greg Brown III,1610612757,POR,F,20.0,42,42,1.0,144,278,0.518,0.456,0.062
1630553,Keon Johnson,1610612757,POR,G,20.0,34,34,1.0,133,270,0.493,0.457,0.036
1630314,Brandon Williams,1610612757,POR,G,22.0,24,24,1.0,130,267,0.487,0.45,0.037
1628372,Dennis Smith Jr.,1610612757,POR,G,24.0,35,35,1.0,102,226,0.451,0.449,0.002
203469,Cody Zeller,1610612757,POR,F-C,29.0,27,27,1.0,98,178,0.551,0.494,0.057
1627739,Kris Dunn,1610612757,POR,G,28.0,14,14,1.0,72,139,0.518,0.456,0.062
1630190,Elijah Hughes,1610612757,POR,G,24.0,29,29,1.0,73,132,0.553,0.46,0.093
1629833,Keljin Blevins,1610612757,POR,G,26.0,30,30,1.0,58,116,0.5,0.459,0.041
1629617,Reggie Perry,1610612757,POR,F-C,22.0,10,10,1.0,53,109,0.486,0.471,0.015
1629712,Didi Louzada,1610612757,POR,G,22.0,8,8,1.0,15,41,0.366,0.48,-0.115
1630787,Cameron McGriff,1610612757,POR,F,24.0,3,3,1.0,9,18,0.5,0.435,0.065
1629600,Jarron Cumberland,1610612757,POR,G,24.0,1,1,1.0,0,2,0.0,0.593,-0.593
