player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
203463,Ben McLemore,Ben,1610612758,SAC,23.0,17,8,9,0.471,26.0,0.138,0.158,0.143,0.5,0.273,0.133,0.154,0.0,0.095,0.065,0.0,0.167,0.0,0.0,0.0,0.13,0.176,0.164,216,195,223,241,255,229,205,227,21,104,192,182,270,326,355,287,275,237,200,1,117,169,194
2406,Caron Butler,Caron,1610612758,SAC,36.0,2,1,1,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374,362,31,188,395,390,342,379,209,275,299,312,270,356,370,287,1,237,200,1,1,326,359
201954,Darren Collison,Darren,1610612758,SAC,28.0,33,12,21,0.364,116.0,0.198,0.2,0.187,0.471,0.328,0.271,0.229,0.079,0.118,0.105,0.227,0.233,0.263,0.0,0.143,0.183,0.191,0.237,81,144,402,318,81,125,146,164,31,75,86,117,233,293,309,118,338,102,200,275,211,151,102
202326,DeMarcus Cousins,DeMarcus,1610612758,SAC,25.0,36,15,21,0.417,116.0,0.381,0.309,0.369,0.063,0.145,0.478,0.446,0.452,0.342,0.374,0.174,0.429,0.15,0.5,0.857,0.279,0.545,0.339,59,109,402,283,79,14,61,24,198,202,24,26,53,35,36,152,418,175,37,429,343,6,35
202341,James Anderson,James,1610612758,SAC,27.0,10,3,7,0.3,10.0,0.042,0.0,0.0,0.0,0.0,0.286,0.2,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.105,277,293,188,363,329,386,342,379,209,275,75,139,270,279,278,287,1,237,200,1,299,134,271
201585,Kosta Koufos,Kosta,1610612758,SAC,27.0,17,6,11,0.353,26.0,0.145,0.235,0.18,0.0,0.0,0.154,0.176,0.6,0.0,0.231,0.091,0.0,0.143,0.5,0.0,0.31,0.167,0.192,216,235,251,324,259,208,113,176,209,275,170,163,26,356,141,233,1,177,37,1,368,178,154
201158,Marco Belinelli,Marco,1610612758,SAC,30.0,29,12,17,0.414,71.0,0.177,0.213,0.238,0.364,0.4,0.087,0.104,0.105,0.093,0.097,0.182,0.074,0.0,0.0,0.0,0.125,0.061,0.185,117,144,341,284,151,157,135,106,53,31,244,238,207,328,321,143,183,237,200,1,109,303,163
201956,Omri Casspi,Omri,1610612758,SAC,28.0,23,9,14,0.391,55.0,0.086,0.075,0.089,0.125,0.233,0.12,0.125,0.0,0.214,0.143,0.08,0.05,0.286,0.333,0.167,0.125,0.074,0.088,173,182,298,300,183,328,304,322,169,137,209,213,270,158,252,246,164,89,70,285,109,281,303
203112,Quincy Acy,Quincy,1610612758,SAC,25.0,10,5,5,0.5,22.0,0.075,0.059,0.034,0.0,0.0,0.313,0.261,0.25,0.263,0.261,0.0,0.0,0.0,1.0,0.0,0.083,0.167,0.132,277,252,153,188,278,349,319,376,209,275,59,94,120,98,109,287,1,237,1,1,72,178,237
200765,Rajon Rondo,Rajon,1610612758,SAC,30.0,38,15,23,0.395,116.0,0.14,0.179,0.131,0.0,0.056,0.067,0.085,0.278,0.247,0.257,0.571,0.268,0.409,0.167,0.0,0.307,0.099,0.135,38,109,418,299,80,221,182,252,209,256,263,263,110,122,113,17,358,38,142,1,365,253,232
200752,Rudy Gay,Rudy,1610612758,SAC,29.0,37,16,21,0.432,133.0,0.224,0.24,0.252,0.25,0.227,0.188,0.239,0.122,0.244,0.205,0.056,0.089,0.273,0.0,0.125,0.117,0.202,0.226,51,99,402,267,53,88,108,89,101,141,141,113,193,124,173,267,199,96,200,262,102,133,114
203552,Seth Curry,Seth,1610612758,SAC,25.0,7,3,4,0.429,27.0,0.076,0.13,0.098,0.167,0.143,0.063,0.05,0.0,0.056,0.04,0.2,0.0,0.2,0.0,0.0,0.125,0.0,0.118,301,293,127,269,254,348,231,312,145,203,266,293,270,348,367,127,1,139,200,1,109,326,260
1626161,Willie Cauley-Stein,Willie,1610612758,SAC,22.0,15,9,6,0.6,29.0,0.069,0.118,0.07,0.0,0.0,0.083,0.061,0.4,0.19,0.231,0.1,0.111,0.0,0.333,0.0,0.292,0.087,0.1,233,182,174,103,250,357,249,350,209,275,250,281,68,186,141,221,216,237,70,1,357,262,282
