SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22016,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.931,82,0.061,1.005,0.427,0.082,0.095,0.073,0.013,0.419,0.519,6.8,6.9,2.4,5.7,3.3
22016,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.586,82,0.062,0.934,0.419,0.089,0.105,0.073,0.017,0.409,0.494,7.0,6.5,2.4,5.7,3.3
22016,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.483,82,0.065,0.917,0.41,0.085,0.129,0.08,0.014,0.398,0.474,7.0,6.4,2.3,5.6,3.3
22016,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.552,82,0.059,0.928,0.419,0.106,0.123,0.096,0.025,0.413,0.477,6.5,6.0,2.2,5.1,3.0
22016,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.966,82,0.055,1.013,0.407,0.128,0.084,0.128,0.027,0.429,0.484,5.8,5.9,1.9,4.7,2.8
22016,1610612748,MIA,Miami Heat,Handoff,Offensive,0.276,82,0.057,0.884,0.396,0.06,0.086,0.054,0.008,0.387,0.468,6.1,5.4,2.1,5.3,3.2
22016,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.138,82,0.057,0.85,0.39,0.069,0.146,0.063,0.01,0.363,0.47,6.3,5.4,2.0,5.0,3.1
22016,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.517,82,0.057,0.921,0.391,0.079,0.1,0.071,0.013,0.392,0.471,5.8,5.4,1.9,4.9,3.0
22016,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.897,82,0.048,0.99,0.435,0.051,0.083,0.049,0.01,0.42,0.525,5.0,5.0,1.9,4.4,2.5
22016,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.31,82,0.05,0.9,0.404,0.093,0.116,0.084,0.022,0.398,0.471,5.5,4.9,1.8,4.5,2.7
22016,1610612746,LAC,LA Clippers,Handoff,Offensive,0.448,82,0.048,0.913,0.421,0.069,0.125,0.071,0.024,0.388,0.499,5.2,4.7,1.8,4.3,2.5
22016,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.655,82,0.044,0.944,0.401,0.084,0.086,0.084,0.015,0.404,0.462,4.8,4.5,1.6,4.0,2.4
22016,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.379,82,0.047,0.91,0.422,0.088,0.11,0.073,0.017,0.413,0.47,5.0,4.5,1.7,4.1,2.4
22016,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.759,82,0.041,0.968,0.425,0.088,0.133,0.08,0.019,0.406,0.522,4.6,4.5,1.6,3.7,2.1
22016,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.724,82,0.043,0.958,0.438,0.085,0.116,0.082,0.016,0.426,0.515,4.6,4.4,1.6,3.8,2.1
22016,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.034,82,0.044,0.803,0.358,0.097,0.12,0.085,0.017,0.364,0.403,4.9,3.9,1.4,3.9,2.5
22016,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.69,82,0.038,0.948,0.393,0.091,0.076,0.085,0.006,0.415,0.462,4.0,3.8,1.3,3.4,2.0
22016,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.069,82,0.042,0.813,0.37,0.079,0.111,0.079,0.008,0.368,0.42,4.6,3.8,1.4,3.8,2.4
22016,1610612752,NYK,New York Knicks,Handoff,Offensive,0.621,82,0.035,0.944,0.452,0.063,0.106,0.063,0.019,0.428,0.498,3.9,3.7,1.5,3.3,1.8
