team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,team
1610612737,Atlanta Hawks,82,43,39,0.524,48.7,42.0,89.4,0.47,13.0,34.8,0.374,18.3,22.6,0.812,10.2,34.4,44.5,24.9,12.0,7.2,4.3,4.5,18.9,20.6,115.4,1.6,1,16,16,16,14,8,8,7,11,18,2,5,11,4,16,17,16,15,1,21,24,11,8,7,2,14,ATLANTA HAWKS
1610612738,Boston Celtics,82,51,31,0.622,49.3,41.4,88.8,0.466,13.4,37.7,0.356,17.3,21.2,0.816,10.7,36.1,46.8,25.2,13.9,7.3,5.9,4.7,18.9,19.7,113.6,7.4,1,6,6,6,7,12,12,15,9,8,14,13,23,2,10,2,4,13,13,18,2,12,7,16,9,2,BOSTON CELTICS
1610612751,Brooklyn Nets,82,44,38,0.537,48.3,42.1,88.7,0.475,11.5,31.8,0.361,17.5,21.8,0.805,10.3,34.2,44.5,25.3,14.1,7.1,5.5,4.9,20.4,19.8,113.2,0.8,1,14,14,14,19,6,15,4,23,26,10,11,19,6,15,18,17,12,18,27,5,22,22,15,10,15,BROOKLYN NETS
1610612766,Charlotte Hornets,82,43,39,0.524,47.8,42.2,90.1,0.468,13.7,37.6,0.365,15.6,21.1,0.74,10.7,33.2,43.9,27.7,13.1,8.5,4.8,4.5,19.6,19.3,113.6,0.4,1,16,16,16,26,4,4,11,6,9,6,27,24,27,11,23,21,2,9,6,13,10,13,22,8,16,CHARLOTTE HORNETS
1610612741,Chicago Bulls,82,46,36,0.561,48.6,42.1,87.7,0.48,10.7,29.1,0.369,17.7,21.7,0.813,8.8,34.0,42.7,24.1,13.0,7.2,4.1,5.0,19.0,18.3,112.7,-0.4,1,12,12,12,18,5,21,3,29,30,4,8,20,3,30,19,28,19,6,23,25,24,9,27,13,20,CHICAGO BULLS
1610612739,Cleveland Cavaliers,82,44,38,0.537,49.5,40.9,87.1,0.469,12.0,33.7,0.355,17.3,22.7,0.76,10.5,35.0,45.5,25.9,14.8,7.3,4.3,4.8,18.0,20.6,111.0,2.2,1,14,14,14,6,17,26,9,19,21,15,14,8,21,13,12,10,7,27,20,23,16,2,8,20,13,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,82,52,30,0.634,50.2,40.9,88.7,0.461,13.6,38.9,0.35,17.0,22.1,0.771,9.6,35.2,44.8,24.4,13.0,7.0,4.1,3.8,20.5,20.9,112.5,3.4,1,5,5,5,1,15,14,18,7,4,19,17,14,16,21,10,14,17,7,28,26,1,23,4,14,7,DALLAS MAVERICKS
1610612743,Denver Nuggets,82,48,34,0.585,48.8,42.1,87.1,0.483,12.8,36.2,0.353,16.9,21.2,0.795,9.3,35.3,44.5,28.1,14.6,7.3,3.8,4.8,20.2,20.1,113.8,2.3,1,10,10,10,11,7,25,2,14,14,16,18,22,8,25,7,15,1,26,19,29,18,20,12,6,12,DENVER NUGGETS
1610612765,Detroit Pistons,82,23,59,0.28,48.6,38.4,89.3,0.431,11.4,34.9,0.326,17.4,22.2,0.782,11.1,32.2,43.3,23.6,14.3,7.7,4.8,5.2,22.1,20.0,105.6,-7.8,1,28,28,28,16,28,9,29,25,17,29,12,13,13,6,29,25,22,20,10,14,27,30,14,28,26,DETROIT PISTONS
1610612744,Golden State Warriors,82,53,29,0.646,48.6,40.9,87.3,0.469,14.5,39.8,0.364,15.8,20.5,0.769,9.9,36.1,45.9,27.4,15.0,8.9,4.6,3.9,21.2,18.2,112.1,5.6,1,3,3,3,17,16,24,10,3,3,8,25,25,17,19,4,8,4,29,3,18,2,27,29,16,5,GOLDEN STATE WARRIORS
