season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
22022,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.931,82,0.272,1.12,0.424,0.054,0.051,0.052,0.015,0.422,0.574,30.1,33.7,11.6,27.3,15.7
22022,1610612742,DAL,Dallas Mavericks,Spotup,Offensive,0.828,82,0.268,1.087,0.403,0.045,0.054,0.042,0.013,0.4,0.558,28.5,31.0,10.5,26.0,15.5
22022,1610612756,PHX,Phoenix Suns,Spotup,Offensive,0.724,82,0.254,1.067,0.407,0.055,0.058,0.051,0.012,0.406,0.55,28.6,30.5,10.4,25.7,15.2
22022,1610612750,MIN,Minnesota Timberwolves,Spotup,Offensive,0.586,82,0.252,1.048,0.426,0.063,0.077,0.058,0.017,0.416,0.548,28.2,29.6,10.6,24.8,14.2
22022,1610612752,NYK,New York Knicks,Spotup,Offensive,0.414,82,0.256,1.031,0.389,0.057,0.053,0.055,0.014,0.393,0.524,28.7,29.6,10.1,25.9,15.8
22022,1610612746,LAC,LA Clippers,Spotup,Offensive,0.966,82,0.239,1.123,0.418,0.058,0.04,0.055,0.013,0.425,0.567,26.2,29.4,10.0,24.0,14.0
22022,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,1.0,82,0.243,1.129,0.428,0.05,0.051,0.049,0.014,0.426,0.575,26.0,29.4,10.2,23.8,13.6
22022,1610612760,OKC,Oklahoma City Thunder,Spotup,Offensive,0.138,82,0.256,0.993,0.386,0.047,0.068,0.045,0.008,0.383,0.516,29.5,29.2,10.2,26.3,16.2
22022,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.862,82,0.234,1.089,0.411,0.068,0.057,0.065,0.013,0.417,0.554,26.2,28.6,9.6,23.3,13.7
22022,1610612749,MIL,Milwaukee Bucks,Spotup,Offensive,0.759,82,0.234,1.068,0.411,0.034,0.056,0.031,0.006,0.403,0.558,26.7,28.5,10.0,24.4,14.4
22022,1610612741,CHI,Chicago Bulls,Spotup,Offensive,0.621,82,0.249,1.049,0.411,0.05,0.071,0.048,0.008,0.406,0.546,27.1,28.4,9.9,24.0,14.2
22022,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.793,82,0.246,1.081,0.418,0.056,0.059,0.051,0.013,0.417,0.553,26.2,28.4,9.8,23.5,13.7
22022,1610612759,SAS,San Antonio Spurs,Spotup,Offensive,0.172,82,0.242,0.995,0.391,0.057,0.062,0.055,0.015,0.39,0.511,28.0,27.9,9.8,25.1,15.3
22022,1610612740,NOP,New Orleans Pelicans,Spotup,Offensive,0.69,82,0.232,1.065,0.408,0.058,0.054,0.055,0.01,0.411,0.543,26.0,27.7,9.5,23.3,13.8
22022,1610612754,IND,Indiana Pacers,Spotup,Offensive,0.31,82,0.238,1.014,0.399,0.059,0.071,0.057,0.011,0.397,0.525,27.0,27.4,9.5,23.8,14.3
22022,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.379,82,0.239,1.02,0.394,0.049,0.057,0.045,0.009,0.395,0.522,26.2,26.7,9.3,23.6,14.3
22022,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.552,82,0.222,1.043,0.4,0.056,0.066,0.051,0.014,0.397,0.537,25.4,26.5,9.1,22.6,13.6
22022,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.207,82,0.234,0.998,0.384,0.061,0.06,0.057,0.013,0.387,0.511,26.4,26.3,9.0,23.5,14.5
22022,1610612744,GSW,Golden State Warriors,Spotup,Offensive,0.897,82,0.21,1.092,0.414,0.039,0.063,0.036,0.009,0.405,0.57,24.0,26.2,9.0,21.7,12.7
22022,1610612766,CHA,Charlotte Hornets,Spotup,Offensive,0.0,82,0.236,0.959,0.382,0.05,0.066,0.048,0.013,0.378,0.496,26.8,25.7,9.2,24.1,14.9
22022,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.448,82,0.227,1.031,0.393,0.044,0.06,0.04,0.01,0.389,0.533,24.9,25.7,8.9,22.5,13.7
22022,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.103,82,0.224,0.991,0.389,0.052,0.066,0.048,0.009,0.385,0.513,25.7,25.5,8.9,22.9,14.0
22022,1610612753,ORL,Orlando Magic,Spotup,Offensive,0.241,82,0.228,1.0,0.391,0.053,0.067,0.051,0.015,0.387,0.518,25.3,25.3,8.9,22.6,13.8
22022,1610612748,MIA,Miami Heat,Spotup,Offensive,0.517,82,0.224,1.038,0.388,0.049,0.055,0.046,0.01,0.389,0.528,24.1,25.1,8.5,21.9,13.4
22022,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.069,82,0.221,0.979,0.381,0.063,0.07,0.059,0.011,0.383,0.505,25.4,24.9,8.5,22.3,13.8
22022,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.483,82,0.209,1.037,0.385,0.049,0.047,0.044,0.012,0.388,0.527,23.8,24.6,8.4,21.8,13.4
22022,1610612761,TOR,Toronto Raptors,Spotup,Offensive,0.276,82,0.218,1.001,0.378,0.042,0.046,0.039,0.009,0.38,0.509,24.5,24.6,8.5,22.6,14.1
22022,1610612737,ATL,Atlanta Hawks,Spotup,Offensive,0.034,82,0.21,0.979,0.386,0.051,0.054,0.049,0.009,0.388,0.502,24.1,23.6,8.4,21.8,13.4
22022,1610612743,DEN,Denver Nuggets,Spotup,Offensive,0.655,82,0.203,1.058,0.407,0.037,0.057,0.035,0.008,0.399,0.551,22.2,23.5,8.3,20.3,12.0
22022,1610612739,CLE,Cleveland Cavaliers,Spotup,Offensive,0.345,82,0.213,1.019,0.39,0.044,0.058,0.041,0.011,0.387,0.524,22.9,23.3,8.1,20.8,12.7
