season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
22022,1610612738,BOS,Boston Celtics,Cut,Defensive,0.517,82,0.05,1.302,0.673,0.109,0.057,0.109,0.028,0.654,0.673,5.6,7.3,3.2,4.8,1.6
22022,1610612749,MIL,Milwaukee Bucks,Cut,Defensive,1.0,82,0.059,1.202,0.607,0.131,0.061,0.131,0.029,0.605,0.607,6.6,8.0,3.4,5.6,2.2
22022,1610612745,HOU,Houston Rockets,Cut,Defensive,0.621,82,0.058,1.28,0.658,0.17,0.07,0.165,0.038,0.65,0.658,6.4,8.2,3.4,5.1,1.8
22022,1610612747,LAL,Los Angeles Lakers,Cut,Defensive,0.931,82,0.061,1.229,0.64,0.131,0.068,0.131,0.033,0.621,0.64,7.0,8.6,3.7,5.8,2.1
22022,1610612752,NYK,New York Knicks,Cut,Defensive,0.448,82,0.059,1.316,0.691,0.16,0.076,0.158,0.059,0.651,0.691,6.6,8.6,3.7,5.4,1.7
22022,1610612756,PHX,Phoenix Suns,Cut,Defensive,0.103,82,0.057,1.379,0.703,0.144,0.046,0.144,0.035,0.696,0.703,6.3,8.7,3.8,5.3,1.6
22022,1610612739,CLE,Cleveland Cavaliers,Cut,Defensive,0.966,82,0.069,1.219,0.623,0.147,0.058,0.142,0.035,0.619,0.623,7.4,9.0,3.8,6.1,2.3
22022,1610612762,UTA,Utah Jazz,Cut,Defensive,0.552,82,0.065,1.284,0.666,0.127,0.067,0.119,0.031,0.647,0.666,7.5,9.6,4.2,6.2,2.1
22022,1610612750,MIN,Minnesota Timberwolves,Cut,Defensive,0.862,82,0.068,1.231,0.64,0.158,0.07,0.153,0.039,0.627,0.64,7.8,9.6,4.1,6.3,2.3
22022,1610612764,WAS,Washington Wizards,Cut,Defensive,0.897,82,0.071,1.231,0.627,0.156,0.073,0.154,0.036,0.618,0.627,7.8,9.6,4.0,6.3,2.4
22022,1610612751,BKN,Brooklyn Nets,Cut,Defensive,0.586,82,0.07,1.283,0.66,0.165,0.068,0.163,0.057,0.641,0.66,7.8,10.0,4.2,6.4,2.2
22022,1610612755,PHI,Philadelphia 76ers,Cut,Defensive,0.483,82,0.07,1.315,0.664,0.164,0.053,0.162,0.04,0.662,0.664,7.6,10.0,4.1,6.2,2.1
22022,1610612760,OKC,Oklahoma City Thunder,Cut,Defensive,0.345,82,0.065,1.342,0.705,0.201,0.072,0.191,0.056,0.686,0.705,7.5,10.0,4.1,5.8,1.7
22022,1610612766,CHA,Charlotte Hornets,Cut,Defensive,0.69,82,0.07,1.271,0.646,0.16,0.052,0.157,0.045,0.643,0.646,7.9,10.1,4.3,6.6,2.3
22022,1610612746,LAC,LA Clippers,Cut,Defensive,0.655,82,0.072,1.279,0.645,0.154,0.054,0.149,0.042,0.644,0.645,7.9,10.1,4.3,6.6,2.3
22022,1610612741,CHI,Chicago Bulls,Cut,Defensive,0.172,82,0.067,1.369,0.709,0.16,0.061,0.16,0.051,0.687,0.709,7.4,10.1,4.3,6.1,1.8
22022,1610612765,DET,Detroit Pistons,Cut,Defensive,0.0,82,0.065,1.413,0.725,0.158,0.05,0.155,0.049,0.713,0.725,7.3,10.3,4.4,6.1,1.7
22022,1610612753,ORL,Orlando Magic,Cut,Defensive,0.31,82,0.069,1.346,0.703,0.162,0.064,0.158,0.046,0.68,0.703,7.7,10.3,4.4,6.3,1.9
22022,1610612740,NOP,New Orleans Pelicans,Cut,Defensive,0.241,82,0.069,1.352,0.708,0.163,0.069,0.159,0.048,0.684,0.708,7.6,10.3,4.4,6.2,1.8
22022,1610612744,GSW,Golden State Warriors,Cut,Defensive,0.379,82,0.067,1.338,0.689,0.157,0.061,0.154,0.042,0.673,0.689,7.8,10.4,4.4,6.4,2.0
22022,1610612742,DAL,Dallas Mavericks,Cut,Defensive,0.207,82,0.072,1.367,0.706,0.189,0.064,0.178,0.053,0.688,0.706,7.8,10.7,4.4,6.3,1.8
22022,1610612763,MEM,Memphis Grizzlies,Cut,Defensive,0.724,82,0.074,1.269,0.653,0.132,0.067,0.13,0.033,0.641,0.653,8.4,10.7,4.6,7.0,2.4
22022,1610612759,SAS,San Antonio Spurs,Cut,Defensive,0.034,82,0.067,1.411,0.721,0.178,0.046,0.176,0.05,0.709,0.721,7.6,10.8,4.5,6.3,1.8
22022,1610612737,ATL,Atlanta Hawks,Cut,Defensive,0.138,82,0.069,1.372,0.695,0.148,0.039,0.146,0.033,0.692,0.695,7.8,10.8,4.6,6.6,2.0
22022,1610612758,SAC,Sacramento Kings,Cut,Defensive,0.069,82,0.07,1.381,0.713,0.138,0.05,0.134,0.038,0.698,0.713,7.8,10.8,4.7,6.6,1.9
22022,1610612743,DEN,Denver Nuggets,Cut,Defensive,0.828,82,0.08,1.24,0.648,0.117,0.063,0.115,0.027,0.63,0.648,8.7,10.8,4.8,7.4,2.6
22022,1610612754,IND,Indiana Pacers,Cut,Defensive,0.759,82,0.08,1.262,0.647,0.138,0.057,0.132,0.028,0.644,0.647,9.1,11.5,4.9,7.6,2.7
22022,1610612761,TOR,Toronto Raptors,Cut,Defensive,0.276,82,0.082,1.348,0.712,0.163,0.082,0.163,0.047,0.673,0.712,8.8,11.9,5.0,7.0,2.0
22022,1610612757,POR,Portland Trail Blazers,Cut,Defensive,0.414,82,0.084,1.322,0.676,0.138,0.051,0.136,0.043,0.662,0.676,9.3,12.3,5.4,7.9,2.6
22022,1610612748,MIA,Miami Heat,Cut,Defensive,0.793,82,0.091,1.261,0.652,0.125,0.07,0.123,0.035,0.631,0.652,9.8,12.3,5.3,8.2,2.9
