,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
2011-12,NBA,Tyson Chandler,(V),29,NYK,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220,chandty01
2010-11,NBA,Dwight Howard,(V),25,ORL,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,howardw01
2009-10,NBA,Dwight Howard,(V),24,ORL,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,howardw01
2008-09,NBA,Dwight Howard,(V),23,ORL,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234,howardw01
2007-08,NBA,Kevin Garnett,(V),31,BOS,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,garneke01
2006-07,NBA,Marcus Camby,(V),32,DEN,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,cambyma01
2005-06,NBA,Ben Wallace,(V),31,DET,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,wallabe01
2004-05,NBA,Ben Wallace,(V),30,DET,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153,wallabe01
2003-04,NBA,Metta World Peace,(V),24,IND,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,artesro01
2002-03,NBA,Ben Wallace,(V),28,DET,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,wallabe01
2001-02,NBA,Ben Wallace,(V),27,DET,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,wallabe01
2000-01,NBA,Dikembe Mutombo,(V),34,TOT,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151,mutomdi01
1999-00,NBA,Alonzo Mourning,(V),29,MIA,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,mournal01
1998-99,NBA,Alonzo Mourning,(V),28,MIA,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,mournal01
1997-98,NBA,Dikembe Mutombo,(V),31,ATL,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177,mutomdi01
1996-97,NBA,Dikembe Mutombo,(V),30,ATL,80,37.2,13.3,11.6,1.4,0.6,3.3,.527,,.705,11.3,.183,mutomdi01
1995-96,NBA,Gary Payton,(V),27,SEA,81,39.0,19.3,4.2,7.5,2.9,0.2,.484,.328,.748,11.5,.174,paytoga01
1994-95,NBA,Dikembe Mutombo,(V),28,DEN,82,37.8,11.5,12.5,1.4,0.5,3.9,.556,,.654,8.7,.135,mutomdi01
1993-94,NBA,Hakeem Olajuwon,(V),31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210,olajuha01
1992-93,NBA,Hakeem Olajuwon,(V),30,HOU,82,39.5,26.1,13.0,3.5,1.8,4.2,.529,.000,.779,15.8,.234,olajuha01
1991-92,NBA,David Robinson,(V),26,SAS,68,37.7,23.2,12.2,2.7,2.3,4.5,.551,.125,.701,13.9,.260,robinda01
1990-91,NBA,Dennis Rodman,(V),29,DET,82,33.5,8.2,12.5,1.0,0.8,0.7,.493,.200,.631,8.7,.151,rodmade01
1989-90,NBA,Dennis Rodman,(V),28,DET,82,29.0,8.8,9.7,0.9,0.6,0.7,.581,.111,.654,9.3,.189,rodmade01
1988-89,NBA,Mark Eaton,(V),32,UTA,82,35.5,6.2,10.3,1.0,0.5,3.8,.462,,.660,6.6,.108,eatonma01
1987-88,NBA,Michael Jordan,(V),24,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308,jordami01
1986-87,NBA,Michael Cooper,(V),30,LAL,82,27.5,10.5,3.1,4.5,1.0,0.5,.438,.385,.851,6.1,.131,coopemi01
1985-86,NBA,Alvin Robertson,(V),23,SAS,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,roberal01
1984-85,NBA,Mark Eaton,(V),28,UTA,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,,.712,5.4,.093,eatonma01
1983-84,NBA,Sidney Moncrief,(V),26,MIL,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,.278,.848,12.7,.198,moncrsi01
1982-83,NBA,Sidney Moncrief,(V),25,MIL,76,35.7,22.5,5.8,3.9,1.5,0.3,.524,.100,.826,13.2,.233,moncrsi01
