Season,Lg,Tm,Voting,,,,,
2024-25,NBA,1st,(V),Stephon Castle,Zach Edey,Zaccharie Risacher,Alex Sarr,Jaylen Wells
2024-25,NBA,2nd,(V),Matas Buzelis,Bub Carrington,Donovan Clingan,Yves Missi,Kel'el Ware
2023-24,NBA,1st,(V),Chet Holmgren,Jaime Jaquez,Brandon Miller,Brandin Podziemski,Victor Wembanyama
2023-24,NBA,2nd,(V),Dereck Lively,Gregory Jackson,Keyonte George,Amen Thompson,Cason Wallace
2022-23,NBA,1st,(V),Paolo Banchero,Walker Kessler,Bennedict Mathurin,Keegan Murray,Jalen Williams
2022-23,NBA,2nd,(V),Jalen Duren,Tari Eason,Jaden Ivey,Jabari Smith,Jeremy Sochan
2021-22,NBA,1st,(V),Scottie Barnes,Cade Cunningham,Evan Mobley,Franz Wagner,Jalen Green
2021-22,NBA,2nd,(V),Herbert Jones,Josh Giddey,Bones Hyland,Ayo Dosunmu,Chris Duarte
2020-21,NBA,1st,(V),LaMelo Ball,Saddiq Bey,Anthony Edwards,Tyrese Haliburton,Jae'Sean Tate
2020-21,NBA,2nd,(V),Desmond Bane,Isaac Okoro,Immanuel Quickley,Isaiah Stewart,Patrick Williams
2019-20,NBA,1st,(V),Ja Morant,Kendrick Nunn,Brandon Clarke,Zion Williamson,Eric Paschall
2019-20,NBA,2nd,(V),Tyler Herro,Terence Davis,Coby White,P.J. Washington,Rui Hachimura
2018-19,NBA,1st,(V),Luka Dončić,Trae Young,Deandre Ayton,Jaren Jackson,Marvin Bagley
2018-19,NBA,2nd,(V),Shai Gilgeous-Alexander,Collin Sexton,Landry Shamet,Mitchell Robinson,Kevin Huerter
2017-18,NBA,1st,(V),Donovan Mitchell,Ben Simmons,Jayson Tatum,Kyle Kuzma,Lauri Markkanen
2017-18,NBA,2nd,(V),Dennis Smith,Lonzo Ball,John Collins,Bogdan Bogdanović,Josh Jackson
2016-17,NBA,1st,(V),Malcolm Brogdon,Dario Šarić,Joel Embiid,Buddy Hield,Willy Hernangómez
2016-17,NBA,2nd,(V),Jamal Murray,Jaylen Brown,Marquese Chriss,Brandon Ingram,Yogi Ferrell
2015-16,NBA,1st,(V),Karl-Anthony Towns,Kristaps Porziņģis,Devin Booker,Nikola Jokić,Jahlil Okafor
