close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
203999,Nikola Jokić,1610612743,DEN,C,29.0,12,12,1.0,10.92,21.42,0.51,0.507,0.003
1627750,Jamal Murray,1610612743,DEN,G,27.0,12,12,1.0,7.33,13.75,0.533,0.487,0.046
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,12,12,1.0,6.33,13.67,0.463,0.482,-0.018
203932,Aaron Gordon,1610612743,DEN,F,28.0,12,12,1.0,5.58,12.08,0.462,0.505,-0.043
1629008,Michael Porter Jr.,1610612743,DEN,F,26.0,12,12,1.0,5.33,10.33,0.516,0.497,0.019
1631128,Christian Braun,1610612743,DEN,G,23.0,12,12,1.0,2.42,5.25,0.46,0.476,-0.016
201599,DeAndre Jordan,1610612743,DEN,C,35.0,2,2,1.0,3.5,5.0,0.7,0.465,0.235
203200,Justin Holiday,1610612743,DEN,F-G,35.0,12,12,1.0,2.25,4.83,0.466,0.473,-0.007
202704,Reggie Jackson,1610612743,DEN,G,34.0,12,12,1.0,2.42,4.75,0.509,0.455,0.054
1631212,Peyton Watson,1610612743,DEN,G,21.0,10,10,1.0,1.7,4.5,0.378,0.5,-0.123
1631124,Julian Strawther,1610612743,DEN,G,22.0,2,2,1.0,0.5,1.5,0.333,0.436,-0.103
1629618,Jalen Pickett,1610612743,DEN,G,24.0,2,2,1.0,1.0,1.5,0.667,0.477,0.19
1641816,Hunter Tyson,1610612743,DEN,F,24.0,3,3,1.0,0.33,1.33,0.25,0.454,-0.204
1630192,Zeke Nnaji,1610612743,DEN,F-C,23.0,3,3,1.0,0.0,1.33,0.0,0.479,-0.479
