close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
203953,Jabari Parker,1610612749,MIL,F,22.0,51,51,0.61,2.78,6.98,0.399,0.37,0.029
203503,Tony Snell,1610612749,MIL,G-F,25.0,80,79,0.603,2.08,5.34,0.389,0.381,0.008
203114,Khris Middleton,1610612749,MIL,G-F,25.0,29,29,0.588,1.69,5.31,0.318,0.363,-0.045
203507,Giannis Antetokounmpo,1610612749,MIL,F-G,22.0,80,79,0.441,1.8,5.16,0.349,0.372,-0.023
203521,Matthew Dellavedova,1610612749,MIL,G,26.0,76,74,0.601,1.87,4.97,0.376,0.375,0.001
1627763,Malcolm Brogdon,1610612749,MIL,G,24.0,75,74,0.524,1.52,4.29,0.354,0.378,-0.024
1627780,Gary Payton II,1610612749,MIL,G,24.0,5,5,0.606,2.0,4.0,0.5,0.37,0.13
203093,Terrence Jones,1610612749,MIL,F,25.0,51,50,0.389,1.47,3.82,0.385,0.373,0.012
1891,Jason Terry,1610612749,MIL,G,39.0,74,73,0.672,1.14,3.7,0.307,0.367,-0.06
201563,Michael Beasley,1610612749,MIL,F,28.0,55,53,0.548,1.47,3.51,0.42,0.373,0.047
202328,Greg Monroe,1610612749,MIL,C,27.0,80,75,0.305,0.93,2.7,0.343,0.375,-0.033
201150,Spencer Hawes,1610612749,MIL,F-C,29.0,50,41,0.361,1.06,2.62,0.405,0.364,0.041
203141,Mirza Teletovic,1610612749,MIL,F,31.0,70,64,0.449,0.87,2.59,0.337,0.37,-0.033
203089,John Henson,1610612749,MIL,C-F,26.0,58,54,0.291,0.95,2.48,0.382,0.387,-0.006
1626173,Rashad Vaughn,1610612749,MIL,G,20.0,34,24,0.462,0.68,1.94,0.348,0.366,-0.018
1627748,Thon Maker,1610612749,MIL,F-C,20.0,51,33,0.272,0.55,1.53,0.359,0.375,-0.016
200779,Steve Novak,1610612749,MIL,F,34.0,4,2,0.5,0.0,0.5,0.0,0.423,-0.423
