group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
,201584,Courtney Lee,,1610612752,NYK,32.0,29,11,18,0.379,114.35333333333334,3.1,1.3,0.9,2.5,9.1,17.0,5.4,27.7,0.0,0.6,4.1,2.2,19.2,106,152,386,315,68,80,187,138,255,210,400,254,257,228,303,241,252,323
,1628422,Damyean Dotson,,1610612752,NYK,24.0,3,0,3,0.0,1.3733333333333333,0.0,0.0,0.0,0.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,404,114,404,403,233,236,179,300,449,1,1,404,228,1,1,332,403
,1626144,Emmanuel Mudiay,,1610612752,NYK,22.0,7,5,2,0.714,10.515,0.0,0.0,0.0,6.8,17.1,0.0,17.1,13.7,0.0,3.4,3.4,0.0,27.4,307,268,75,42,333,233,236,179,116,413,1,432,395,228,438,191,332,217
,202683,Enes Freedom,,1610612752,NYK,26.0,20,6,14,0.3,45.781666666666666,1.6,2.4,0.0,6.3,10.2,14.9,11.0,37.7,1.6,1.6,3.9,1.6,32.8,194,250,319,368,203,163,119,179,127,249,378,397,67,83,388,229,286,146
,1628373,Frank Ntilikina,,1610612752,NYK,19.0,18,9,9,0.5,47.11666666666667,0.0,0.0,0.0,0.0,5.3,16.0,3.8,19.9,0.8,0.0,6.1,4.6,26.9,214,182,236,198,197,233,236,179,300,114,392,177,368,154,1,354,136,221
,101127,Jarrett Jack,,1610612752,NYK,34.0,19,5,14,0.263,66.99666666666667,2.1,1.1,1.1,6.4,11.3,17.2,3.2,27.9,0.0,2.1,6.4,1.6,31.2,206,268,319,380,158,127,200,130,121,292,404,160,252,228,413,366,283,162
,201149,Joakim Noah,,1610612752,NYK,33.0,1,1,0,1.0,3.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.1,13.6,407,354,1,1,380,233,236,179,300,1,1,1,404,228,1,416,26,366
,204001,Kristaps Porziņģis,,1610612752,NYK,22.0,22,9,13,0.409,109.20166666666668,1.3,4.0,0.7,7.3,7.3,17.5,3.0,21.8,3.3,1.3,4.0,9.2,51.9,173,182,305,298,78,183,50,156,109,145,408,150,354,29,363,234,22,31
,203124,Kyle O'Quinn,,1610612752,NYK,28.0,11,3,8,0.273,34.806666666666665,2.1,2.1,0.0,6.2,9.3,11.4,0.0,16.5,4.1,0.0,5.2,3.1,39.4,264,305,212,377,228,130,136,179,131,214,297,1,383,20,1,318,200,79
,202498,Lance Thomas,,1610612752,NYK,30.0,24,9,15,0.375,42.91833333333334,0.0,0.0,0.0,0.0,18.5,11.7,5.9,28.5,0.0,0.0,3.4,1.7,15.6,151,182,345,316,211,233,236,179,300,418,312,279,243,228,1,182,278,352
,1628436,Luke Kornet,,1610612752,NYK,22.0,1,0,1,0.0,5.983333333333333,0.0,0.0,0.0,0.0,12.0,0.0,12.0,48.1,0.0,0.0,0.0,0.0,7.2,407,404,27,404,361,233,236,179,300,314,1,407,24,228,1,1,332,390
,201563,Michael Beasley,,1610612752,NYK,29.0,20,4,16,0.2,66.67166666666667,0.0,4.3,1.1,13.0,9.2,17.8,7.0,27.0,1.1,0.5,2.7,1.6,34.6,194,288,360,388,160,233,46,129,27,212,414,319,268,117,294,136,282,131
,1627758,Ron Baker,,1610612752,NYK,25.0,4,2,2,0.5,2.683333333333333,0.0,0.0,0.0,0.0,13.4,26.8,0.0,26.8,0.0,0.0,13.4,0.0,67.1,348,329,75,198,392,233,236,179,300,342,437,1,275,228,1,432,332,12
,203501,Tim Hardaway Jr.,,1610612752,NYK,26.0,22,7,15,0.318,76.14,6.1,1.4,4.3,4.7,9.5,20.3,4.7,25.5,0.0,2.4,3.3,6.6,31.2,173,233,345,362,136,23,176,29,168,220,424,217,300,228,419,173,64,160
,203504,Trey Burke,,1610612752,NYK,25.0,11,3,8,0.273,28.44333333333333,0.0,0.0,3.8,7.6,13.9,19.0,6.3,32.9,0.0,0.0,8.9,3.8,29.0,264,305,212,377,248,233,236,33,103,353,418,292,142,228,1,412,169,192
,1627786,Troy Williams,,1610612752,NYK,23.0,4,0,4,0.0,3.536666666666666,0.0,10.2,0.0,0.0,20.4,0.0,20.4,81.4,0.0,0.0,0.0,0.0,10.2,348,404,141,404,382,233,5,179,300,425,1,439,7,228,1,1,332,381
