close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
1631093,Jaden Ivey,1610612765,DET,G,21.0,74,74,0.366,110,316,0.348,0.358,-0.01
1630165,Killian Hayes,1610612765,DET,G,21.0,76,75,0.349,118,305,0.387,0.36,0.027
1630191,Isaiah Stewart,1610612765,DET,F-C,22.0,50,50,0.356,108,261,0.414,0.356,0.058
1631105,Jalen Duren,1610612765,DET,C,19.0,67,65,0.299,96,256,0.375,0.357,0.018
202711,Bojan Bogdanović,1610612765,DET,F,34.0,59,58,0.367,89,242,0.368,0.362,0.006
202709,Cory Joseph,1610612765,DET,G,31.0,61,55,0.338,53,162,0.327,0.359,-0.032
1628963,Marvin Bagley III,1610612765,DET,F,24.0,42,40,0.316,62,150,0.413,0.358,0.055
202692,Alec Burks,1610612765,DET,G,31.0,51,49,0.381,49,144,0.34,0.365,-0.025
1630587,Isaiah Livers,1610612765,DET,F,24.0,52,45,0.297,48,144,0.333,0.36,-0.026
1628977,Hamidou Diallo,1610612765,DET,G,24.0,56,50,0.363,45,132,0.341,0.358,-0.017
1630164,James Wiseman,1610612765,DET,C,22.0,44,36,0.236,38,104,0.365,0.356,0.01
1630647,Eugene Omoruyi,1610612765,DET,F,26.0,39,33,0.403,34,94,0.362,0.341,0.02
1630181,R.J. Hampton,1610612765,DET,G,22.0,43,36,0.303,25,83,0.301,0.364,-0.063
1630595,Cade Cunningham,1610612765,DET,G,21.0,12,12,0.376,18,70,0.257,0.36,-0.103
203585,Rodney McGruder,1610612765,DET,G,31.0,30,22,0.328,19,59,0.322,0.361,-0.039
1631197,Jared Rhoden,1610612765,DET,G,23.0,11,9,0.393,7,22,0.318,0.347,-0.028
1631205,Buddy Boeheim,1610612765,DET,F,23.0,9,8,0.5,4,20,0.2,0.368,-0.168
1630649,Stanley Umude,1610612765,DET,G,24.0,1,1,1.0,0,1,0.0,0.286,-0.286
