close_def_person_id,player,team_id,team,pos,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
203991,Clint Capela,1610612745,HOU,C,24.0,17,17,1.0,6.71,15.82,0.424,0.483,-0.059
201935,James Harden,1610612745,HOU,G,28.0,17,17,1.0,6.82,14.71,0.464,0.48,-0.016
101108,Chris Paul,1610612745,HOU,G,33.0,15,15,1.0,6.2,12.27,0.505,0.475,0.03
200782,P.J. Tucker,1610612745,HOU,F,33.0,17,17,1.0,5.06,11.53,0.439,0.481,-0.042
201569,Eric Gordon,1610612745,HOU,G,29.0,17,17,1.0,4.12,9.88,0.417,0.475,-0.058
2772,Trevor Ariza,1610612745,HOU,F-G,33.0,17,17,1.0,4.47,8.29,0.539,0.486,0.053
101123,Gerald Green,1610612745,HOU,G-F,32.0,17,17,1.0,2.82,6.41,0.44,0.464,-0.023
2403,Nene,1610612745,HOU,C-F,35.0,11,11,1.0,2.09,5.45,0.383,0.467,-0.083
201601,Luc Mbah a Moute,1610612745,HOU,F,31.0,9,9,1.0,2.44,5.44,0.449,0.456,-0.007
201583,Ryan Anderson,1610612745,HOU,F,30.0,11,11,1.0,1.82,3.09,0.588,0.469,0.12
1627778,Chinanu Onuaku,1610612745,HOU,C,21.0,1,1,1.0,0.0,2.0,0.0,0.463,-0.463
2207,Joe Johnson,1610612745,HOU,G-F,37.0,6,6,1.0,1.5,1.83,0.818,0.499,0.319
1628935,Aaron Jackson,1610612745,HOU,G,32.0,4,4,1.0,0.5,1.5,0.333,0.451,-0.118
204028,Tarik Black,1610612745,HOU,F-C,26.0,4,4,1.0,1.0,1.25,0.8,0.45,0.35
1627753,Zhou Qi,1610612745,HOU,F-C,22.0,2,2,1.0,0.5,1.0,0.5,0.457,0.044
