close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
201142,Kevin Durant,1610612760,OKC,F,27.0,18,18,0.643,46,133,0.346,0.392,-0.046
201586,Serge Ibaka,1610612760,OKC,F,26.0,18,18,0.37,47,100,0.47,0.405,0.065
203079,Dion Waiters,1610612760,OKC,G,24.0,18,18,0.623,35,96,0.365,0.391,-0.026
203500,Steven Adams,1610612760,OKC,C,22.0,18,18,0.381,45,94,0.479,0.392,0.087
203460,Andre Roberson,1610612760,OKC,G,24.0,18,18,0.422,29,87,0.333,0.407,-0.074
201566,Russell Westbrook,1610612760,OKC,G,27.0,18,17,0.604,30,81,0.37,0.405,-0.035
202683,Enes Freedom,1610612760,OKC,C,24.0,18,16,0.299,19,46,0.413,0.401,0.012
200751,Randy Foye,1610612760,OKC,G,32.0,14,10,0.311,6,19,0.316,0.375,-0.059
201627,Anthony Morrow,1610612760,OKC,G,30.0,9,9,0.696,3,16,0.188,0.382,-0.195
2555,Nick Collison,1610612760,OKC,F,35.0,8,6,0.471,9,16,0.563,0.416,0.147
202713,Kyle Singler,1610612760,OKC,F,28.0,5,5,0.444,3,8,0.375,0.388,-0.013
1626166,Cameron Payne,1610612760,OKC,G,21.0,7,5,0.35,2,7,0.286,0.376,-0.09
