season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2023-24,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,25.1,7.0,11.0,0.636,0.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,7.0,3.0,0.0,0.0,0.0,5.0,4.0,15.0,-1.0,26.1,0,0,25.0,1,13252,1,13252,11943,3981,7189,4933,14651,10539,14651,10099,12641,1,3105,17515,12548,1520,1850,12108,8529,9067,240,2625,6762,13562,9183,2248,138,9026,1,25:07,2023,2024
2023-24,1630692,Jordan Goodwin,Jordan,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,36.5,3.0,13.0,0.231,0.0,3.0,0.0,2.0,4.0,0.5,2.0,6.0,8.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,8.0,-20.0,30.1,0,0,25.0,1,13252,1,13252,2591,12407,5230,21232,14651,10539,14651,6103,3806,10591,3105,2880,2854,7003,8468,384,8529,715,13361,4296,13454,25213,7161,2248,138,9026,1,36:30,2023,2024
2023-24,1641713,GG Jackson,GG,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,44.1,17.0,36.0,0.472,4.0,13.0,0.308,6.0,7.0,0.857,6.0,6.0,12.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,44.0,-13.0,65.9,1,0,67.0,1,13252,1,13252,109,31,7,12583,1043,135,11259,1214,1401,7116,156,2880,736,14131,1850,1349,2720,174,13361,2625,50,22947,182,1,138,89,1,44:07,2023,2024
2023-24,1631222,Jake LaRavia,Jake,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,39.7,11.0,20.0,0.55,4.0,11.0,0.364,3.0,4.0,0.75,2.0,3.0,5.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,29.0,-19.0,37.0,0,0,42.0,1,13252,1,13252,764,789,1217,8019,1043,427,9044,4235,3806,8216,3105,9402,7148,4938,804,12108,8529,9067,3501,2625,1107,24997,4349,2248,138,2278,1,39:42,2023,2024
2023-24,1641998,Trey Jemison III,Trey,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,38.2,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,6.0,-13.0,30.7,0,0,26.0,1,13252,1,13252,1490,12407,14269,8954,14651,20560,14651,13417,14233,13417,1506,1266,1073,7003,4132,1349,2720,9067,1214,17532,15809,22947,6868,2248,138,8454,1,38:10,2023,2024
2023-24,1641851,Timmy Allen,Timmy,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,24.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,-6.0,9.7,0,0,7.0,1,13252,1,13252,12489,22557,21406,22557,14651,20560,14651,10099,7481,10591,13449,17515,19646,14131,16035,1349,8529,9067,3501,11166,22915,18385,19623,2248,138,20822,1,24:26,2023,2024
2023-24,1631298,Jack White,Jack,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,9.3,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0,0,2.0,1,13252,1,13252,22241,22557,17737,22557,14651,13570,14651,13417,14233,13417,6495,17515,15973,19657,16035,12108,8529,9067,20240,17532,23140,12394,24071,2248,138,23945,1,9:19,2023,2024
2023-24,1630285,Zavier Simpson,Zavier,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14T00:00:00,MEM vs. DEN,L,22.7,4.0,8.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,-3.0,13.7,0,0,12.0,1,13252,1,13252,13822,9679,11049,8954,14651,16961,14651,13417,14233,13417,13449,17515,19646,7003,16035,12108,8529,9067,13361,11166,13454,15642,16971,2248,138,17454,1,22:39,2023,2024
2023-24,1641851,Timmy Allen,Timmy,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,27.2,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,-17.0,9.7,0,0,9.0,1,13252,1,13252,10270,18910,17737,20383,14651,16961,14651,13417,14233,13417,1506,9402,5291,14131,8468,12108,8529,9067,3501,11166,21036,24448,19623,2248,138,19556,1,27:13,2023,2024
2023-24,1631298,Jack White,Jack,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,14.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,-10.0,9.8,0,0,8.0,1,13252,1,13252,19866,22557,21406,22557,14651,13570,14651,13417,14233,13417,6495,9402,9569,19657,8468,1349,8529,9067,7524,17532,23140,21324,19578,2248,138,20176,1,14:10,2023,2024
