season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season,season_start,season_end
42015,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.533,24,0.111,1.076,0.413,0.062,0.041,0.059,0.014,0.421,0.54,290,312,109,264,155,2015-16,2015,2016
42015,1610612760,OKC,Oklahoma City Thunder,OffScreen,Offensive,0.667,18,0.054,1.093,0.479,0.065,0.065,0.065,0.009,0.477,0.548,107,117,45,94,49,2015-16,2015,2016
42015,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.0,20,0.063,0.794,0.371,0.053,0.069,0.061,0.015,0.366,0.401,131,104,43,116,73,2015-16,2015,2016
42015,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.867,21,0.032,1.294,0.508,0.044,0.059,0.0,0.0,0.5,0.689,68,88,31,61,30,2015-16,2015,2016
42015,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.8,10,0.06,1.234,0.444,0.109,0.078,0.094,0.016,0.469,0.611,64,79,24,54,30,2015-16,2015,2016
42015,1610612757,POR,Portland Trail Blazers,OffScreen,Offensive,0.133,11,0.063,0.821,0.362,0.064,0.064,0.038,0.013,0.372,0.42,78,64,25,69,44,2015-16,2015,2016
42015,1610612759,SAS,San Antonio Spurs,OffScreen,Offensive,0.6,10,0.055,1.089,0.44,0.071,0.054,0.071,0.018,0.446,0.53,56,61,22,50,28,2015-16,2015,2016
42015,1610612746,LAC,LA Clippers,OffScreen,Offensive,0.733,6,0.062,1.2,0.543,0.05,0.1,0.05,0.025,0.5,0.643,40,48,19,35,16,2015-16,2015,2016
42015,1610612754,IND,Indiana Pacers,OffScreen,Offensive,0.2,7,0.076,0.83,0.318,0.113,0.057,0.094,0.0,0.377,0.375,53,44,14,44,30,2015-16,2015,2016
42015,1610612742,DAL,Dallas Mavericks,OffScreen,Offensive,0.333,5,0.098,0.843,0.391,0.059,0.039,0.039,0.0,0.392,0.424,51,43,18,46,28,2015-16,2015,2016
42015,1610612766,CHA,Charlotte Hornets,OffScreen,Offensive,0.467,7,0.058,0.927,0.359,0.049,0.0,0.049,0.0,0.39,0.423,41,38,14,39,25,2015-16,2015,2016
42015,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.267,6,0.064,0.837,0.351,0.093,0.093,0.093,0.047,0.349,0.405,43,36,13,37,24,2015-16,2015,2016
42015,1610612748,MIA,Miami Heat,OffScreen,Offensive,0.4,14,0.027,0.897,0.394,0.103,0.051,0.103,0.0,0.436,0.409,39,35,13,33,20,2015-16,2015,2016
42015,1610612745,HOU,Houston Rockets,OffScreen,Offensive,0.933,5,0.028,1.438,0.636,0.125,0.188,0.125,0.0,0.563,0.864,16,23,7,11,4,2015-16,2015,2016
42015,1610612765,DET,Detroit Pistons,OffScreen,Offensive,1.0,4,0.027,1.6,0.6,0.2,0.0,0.2,0.2,0.6,0.7,10,16,6,10,4,2015-16,2015,2016
42015,1610612763,MEM,Memphis Grizzlies,OffScreen,Offensive,0.067,4,0.026,0.818,0.375,0.0,0.273,0.0,0.0,0.273,0.563,11,9,3,8,5,2015-16,2015,2016
