close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
204060,Joe Ingles,1610612762,UTA,F,29.0,11,11,0.682,22,75,0.293,0.414,-0.12
2207,Joe Johnson,1610612762,UTA,F-G,36.0,11,11,0.574,27,62,0.435,0.392,0.043
201588,George Hill,1610612762,UTA,G,31.0,8,8,0.587,24,61,0.393,0.42,-0.026
202330,Gordon Hayward,1610612762,UTA,F,27.0,11,11,0.554,29,56,0.518,0.403,0.115
2564,Boris Diaw,1610612762,UTA,C-F,35.0,11,10,0.476,18,40,0.45,0.39,0.06
203918,Rodney Hood,1610612762,UTA,G,24.0,11,10,0.563,10,36,0.278,0.396,-0.119
202714,Shelvin Mack,1610612762,UTA,G,27.0,8,8,0.54,11,34,0.324,0.41,-0.086
203497,Rudy Gobert,1610612762,UTA,C,25.0,8,6,0.31,9,26,0.346,0.421,-0.075
202324,Derrick Favors,1610612762,UTA,F-C,25.0,10,8,0.256,8,22,0.364,0.405,-0.041
203526,Raul Neto,1610612762,UTA,G,25.0,9,7,0.677,8,21,0.381,0.387,-0.006
203957,Danté Exum,1610612762,UTA,G,21.0,7,7,0.609,6,14,0.429,0.402,0.027
203481,Jeff Withey,1610612762,UTA,C,27.0,3,2,0.273,0,3,0.0,0.392,-0.392
1627762,Joel Bolomboy,1610612762,UTA,F,23.0,1,1,1.0,0,2,0.0,0.369,-0.369
