close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
1629028,Deandre Ayton,1610612756,PHX,C,23.0,13,12,0.46,45,99,0.455,0.601,-0.146
1629661,Cameron Johnson,1610612756,PHX,F,26.0,13,12,0.472,39,68,0.574,0.584,-0.011
101108,Chris Paul,1610612756,PHX,G,37.0,13,12,0.427,33,64,0.516,0.605,-0.089
1626164,Devin Booker,1610612756,PHX,G,25.0,10,10,0.5,35,64,0.547,0.608,-0.061
1628969,Mikal Bridges,1610612756,PHX,F,25.0,13,13,0.38,26,57,0.456,0.6,-0.144
203109,Jae Crowder,1610612756,PHX,F,31.0,13,12,0.389,33,51,0.647,0.602,0.045
201580,JaVale McGee,1610612756,PHX,C-F,34.0,11,11,0.42,16,29,0.552,0.598,-0.046
202687,Bismack Biyombo,1610612756,PHX,C,29.0,8,7,0.46,15,23,0.652,0.589,0.064
1629013,Landry Shamet,1610612756,PHX,G,25.0,12,9,0.389,13,21,0.619,0.579,0.04
1626166,Cameron Payne,1610612756,PHX,G,27.0,11,8,0.452,11,19,0.579,0.589,-0.01
1628470,Torrey Craig,1610612756,PHX,F,31.0,9,7,0.333,9,11,0.818,0.596,0.222
1628988,Aaron Holiday,1610612756,PHX,G,25.0,5,2,0.375,2,3,0.667,0.536,0.131
203901,Elfrid Payton,1610612756,PHX,G,28.0,1,1,1.0,2,3,0.667,0.544,0.123
1630688,Ish Wainright,1610612756,PHX,F,27.0,5,3,0.6,1,3,0.333,0.594,-0.261
