group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,1630699,MarJon Beauchamp,MarJon,1610612752,NYK,24.0,1,0,1,0.0,0.9983333333333332,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,439,450,35,450,461,369,419,369,265,347,265,307,313,307,302,382,400,337,291,263,208,1,1,339,392,217,447,216,27,447,NYK
Players,1628384,OG Anunoby,OG,1610612752,NYK,27.0,23,13,10,0.565,120.80833333333334,14,37,0.378,3,15,0.2,4,7,0.571,7,14,21,5,2,7,4,3,9,6,35,-1,98.7,0,0,86.0,133,96,328,163,24,74,58,253,103,58,233,153,140,252,30,47,32,102,148,7,18,437,398,125,97,245,56,216,27,70,NYK
Players,1626153,Delon Wright,Delon,1610612752,NYK,33.0,4,3,1,0.75,8.86,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,2,0,0,0,2,-8,9.2,0,0,7.0,359,304,35,45,353,306,333,129,265,276,265,307,313,307,209,382,352,337,291,263,60,1,1,339,345,339,326,216,27,332,NYK
Players,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,29.0,26,15,11,0.577,129.69333333333333,19,35,0.543,5,14,0.357,3,4,0.75,5,26,31,8,4,5,5,1,21,6,46,14,121.2,21,0,110.0,91,66,352,147,17,41,62,114,54,67,133,178,186,163,54,8,14,59,82,15,10,287,494,125,64,96,28,7,27,34,NYK
Players,1628969,Mikal Bridges,Mikal,1610612752,NYK,28.0,30,18,12,0.6,141.74,18,31,0.581,3,6,0.5,2,3,0.667,3,10,13,8,4,3,5,0,3,4,41,-9,88.6,1,0,81.0,54,31,372,122,9,45,72,94,103,158,46,210,213,208,101,88,100,59,82,48,10,1,229,160,78,355,69,140,27,75,NYK
Players,1630540,Miles McBride,Miles,1610612752,NYK,24.0,20,13,7,0.65,58.23,8,19,0.421,4,10,0.4,0,0,0.0,1,1,2,0,2,1,2,1,9,0,20,4,29.4,0,0,32.0,160,96,262,86,159,130,131,219,79,105,105,307,313,307,209,321,308,337,148,157,60,287,398,339,157,169,222,216,27,200,NYK
Players,1628973,Jalen Brunson,Jalen,1610612752,NYK,28.0,28,17,11,0.607,135.34,52,101,0.515,10,34,0.294,42,50,0.84,0,11,11,28,8,3,0,3,11,37,156,22,212.2,8,0,211.0,76,38,352,120,14,1,4,126,11,6,184,2,4,121,302,79,120,3,17,48,208,437,435,4,2,65,4,35,27,4,NYK
Players,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,27.0,7,3,4,0.429,6.416666666666667,0,0,0.0,0,0,0.0,1,2,0.5,1,3,4,0,0,0,1,0,4,1,1,-16,8.8,0,0,7.0,309,304,181,324,383,369,419,369,265,347,265,262,236,259,209,242,253,337,291,263,120,1,268,270,382,416,330,216,27,332,NYK
Players,1630173,Precious Achiuwa,Precious,1610612752,NYK,25.0,11,10,1,0.909,40.763333333333335,6,11,0.545,0,1,0.0,2,2,1.0,5,5,10,0,0,1,2,1,3,1,14,24,35.0,1,0,30.0,254,154,35,35,209,160,196,110,265,276,265,210,236,1,54,179,141,337,291,157,60,287,229,270,208,53,194,140,27,211,NYK
Players,1641755,Kevin McCullar Jr.,Kevin,1610612752,NYK,24.0,1,1,0,1.0,3.2466666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,0,3,1.2,0,0,1.0,439,375,1,1,424,369,362,369,265,276,265,307,313,307,302,321,352,337,291,263,208,1,1,270,392,178,429,216,27,422,NYK
Players,1626166,Cameron Payne,Cameron,1610612752,NYK,30.0,7,5,2,0.714,9.753333333333334,0,5,0.0,0,3,0.0,1,2,0.5,0,0,0,1,0,2,0,0,1,2,1,4,8.5,0,0,6.0,309,243,105,58,351,369,275,369,265,222,265,262,236,259,302,382,400,250,291,90,208,1,115,215,382,169,333,216,27,349,NYK
Players,1629013,Landry Shamet,Landry,1610612752,NYK,28.0,3,3,0,1.0,3.948333333333333,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,1,0,0,0,1,2,3,5.0,0,0,4.0,380,304,1,1,416,369,362,369,265,276,265,210,236,1,302,382,400,337,291,157,208,1,1,270,345,178,371,216,27,376,NYK
Players,200782,P.J. Tucker,P.J.,1610612752,NYK,40.0,2,1,1,0.5,1.0583333333333331,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0.0,410,375,35,212,458,369,362,369,265,347,265,307,313,307,302,382,400,337,291,263,208,1,1,339,392,322,447,216,27,447,NYK
Players,1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,2,1,1,0.5,4.05,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,1,0,0,-4,1.4,0,0,2.0,410,375,35,212,414,369,419,369,265,347,265,307,313,307,209,321,308,337,201,263,208,1,115,339,392,299,427,216,27,403,NYK
Players,1628404,Josh Hart,Josh,1610612752,NYK,30.0,28,17,11,0.607,141.62166666666667,15,39,0.385,1,11,0.091,11,11,1.0,11,24,35,12,7,5,1,3,22,11,42,24,113.0,12,1,102.0,76,38,352,120,10,65,51,247,191,91,263,78,102,1,11,10,9,33,28,15,120,437,497,75,75,53,37,24,13,44,NYK
