close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
203496,Robert Covington,1610612755,PHI,F,26.0,67,65,0.37,1.37,4.15,0.331,0.36,-0.029
203917,Nik Stauskas,1610612755,PHI,G,23.0,80,76,0.368,1.11,3.16,0.352,0.359,-0.007
201945,Gerald Henderson,1610612755,PHI,G,29.0,71,69,0.407,1.1,3.01,0.364,0.359,0.006
203967,Dario Šarić,1610612755,PHI,F,23.0,81,76,0.282,1.1,2.93,0.376,0.354,0.021
204456,T.J. McConnell,1610612755,PHI,G,25.0,81,76,0.346,1.02,2.77,0.371,0.36,0.011
1627816,Alex Poythress,1610612755,PHI,F,23.0,6,5,0.389,1.17,2.33,0.5,0.34,0.16
203954,Joel Embiid,1610612755,PHI,C,23.0,31,26,0.173,0.87,2.29,0.38,0.356,0.024
1626147,Justin Anderson,1610612755,PHI,G-F,23.0,66,50,0.361,0.8,2.09,0.384,0.352,0.032
1627789,Timothe Luwawu-Cabarrot,1610612755,PHI,G-F,22.0,68,56,0.352,0.57,2.0,0.287,0.357,-0.071
200771,Sergio Rodriguez,1610612755,PHI,G,31.0,68,57,0.346,0.72,1.74,0.415,0.359,0.057
1626143,Jahlil Okafor,1610612755,PHI,C,21.0,50,37,0.135,0.56,1.48,0.378,0.366,0.013
1627848,Shawn Long,1610612755,PHI,F,24.0,17,12,0.186,0.59,1.41,0.417,0.348,0.068
1626158,Richaun Holmes,1610612755,PHI,F,23.0,57,40,0.145,0.46,1.33,0.342,0.351,-0.009
202712,Justin Harper,1610612755,PHI,F,27.0,3,2,0.222,0.0,1.33,0.0,0.377,-0.377
201168,Tiago Splitter,1610612755,PHI,C-F,32.0,8,6,0.256,0.5,1.25,0.4,0.349,0.052
201573,Jerryd Bayless,1610612755,PHI,G,28.0,3,3,0.176,0.0,1.0,0.0,0.335,-0.335
