season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2016-17,1610612738,41600101,2017-04-16,CHI,BOS,CHI,1610612741,102,106,L,-4,rnd1,1
2016-17,1610612738,41600102,2017-04-18,CHI,BOS,CHI,1610612741,97,111,L,-14,rnd1,2
2016-17,1610612738,41600103,2017-04-21,BOS,CHI,CHI,1610612741,104,87,W,17,rnd1,3
2016-17,1610612738,41600104,2017-04-23,BOS,CHI,CHI,1610612741,104,95,W,9,rnd1,4
2016-17,1610612738,41600105,2017-04-26,CHI,BOS,CHI,1610612741,108,97,W,11,rnd1,5
2016-17,1610612738,41600106,2017-04-28,BOS,CHI,CHI,1610612741,105,83,W,22,rnd1,6
2016-17,1610612738,41600201,2017-04-30,WAS,BOS,WAS,1610612764,123,111,W,12,sf,1
2016-17,1610612738,41600202,2017-05-02,WAS,BOS,WAS,1610612764,129,119,W,10,sf,2
2016-17,1610612738,41600203,2017-05-04,BOS,WAS,WAS,1610612764,89,116,L,-27,sf,3
2016-17,1610612738,41600204,2017-05-07,BOS,WAS,WAS,1610612764,102,121,L,-19,sf,4
2016-17,1610612738,41600205,2017-05-10,WAS,BOS,WAS,1610612764,123,101,W,22,sf,5
2016-17,1610612738,41600206,2017-05-12,BOS,WAS,WAS,1610612764,91,92,L,-1,sf,6
2016-17,1610612738,41600207,2017-05-15,WAS,BOS,WAS,1610612764,115,105,W,10,sf,7
2016-17,1610612738,41600301,2017-05-17,CLE,BOS,CLE,1610612739,104,117,L,-13,conf,1
2016-17,1610612738,41600302,2017-05-19,CLE,BOS,CLE,1610612739,86,130,L,-44,conf,2
2016-17,1610612738,41600303,2017-05-21,BOS,CLE,CLE,1610612739,111,108,W,3,conf,3
2016-17,1610612738,41600304,2017-05-23,BOS,CLE,CLE,1610612739,99,112,L,-13,conf,4
2016-17,1610612738,41600305,2017-05-25,CLE,BOS,CLE,1610612739,102,135,L,-33,conf,5
