SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
42016,1610612757,POR,Portland Trail Blazers,Spotup,Defensive,0.133,4,0.143,1.234,0.467,0.063,0.016,0.063,0.016,0.484,0.608,16.0,19.8,7.0,15.0,8.0
42016,1610612754,IND,Indiana Pacers,Spotup,Defensive,0.0,4,0.125,1.566,0.596,0.075,0.038,0.057,0.0,0.585,0.83,13.0,20.8,7.0,12.0,5.0
42016,1610612760,OKC,Oklahoma City Thunder,Spotup,Defensive,0.933,5,0.166,0.902,0.357,0.054,0.054,0.054,0.022,0.359,0.452,18.0,16.6,6.0,17.0,11.0
42016,1610612737,ATL,Atlanta Hawks,Spotup,Defensive,1.0,6,0.153,0.84,0.318,0.06,0.06,0.06,0.0,0.34,0.42,17.0,14.0,5.0,15.0,10.0
42016,1610612749,MIL,Milwaukee Bucks,Spotup,Defensive,0.867,6,0.257,0.928,0.383,0.039,0.092,0.039,0.007,0.368,0.504,25.0,23.5,8.0,22.0,14.0
42016,1610612763,MEM,Memphis Grizzlies,Spotup,Defensive,0.467,6,0.257,1.06,0.401,0.053,0.053,0.06,0.02,0.397,0.54,25.0,26.7,9.0,23.0,14.0
42016,1610612746,LAC,LA Clippers,Spotup,Defensive,0.067,7,0.197,1.286,0.504,0.06,0.083,0.06,0.023,0.481,0.692,19.0,24.4,8.0,17.0,8.0
42016,1610612741,CHI,Chicago Bulls,Spotup,Defensive,0.333,6,0.268,1.103,0.419,0.03,0.042,0.03,0.012,0.412,0.568,28.0,30.3,11.0,26.0,15.0
42016,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.2,11,0.169,1.134,0.438,0.043,0.054,0.043,0.005,0.435,0.577,17.0,19.2,7.0,15.0,9.0
42016,1610612761,TOR,Toronto Raptors,Spotup,Defensive,0.6,10,0.209,1.033,0.408,0.033,0.08,0.028,0.009,0.39,0.552,21.0,22.0,8.0,19.0,11.0
42016,1610612745,HOU,Houston Rockets,Spotup,Defensive,0.8,11,0.209,0.946,0.386,0.047,0.07,0.047,0.019,0.372,0.498,23.0,22.2,8.0,21.0,13.0
42016,1610612764,WAS,Washington Wizards,Spotup,Defensive,0.733,13,0.201,0.955,0.38,0.052,0.084,0.042,0.01,0.371,0.506,22.0,21.0,7.0,19.0,12.0
42016,1610612738,BOS,Boston Celtics,Spotup,Defensive,0.4,18,0.177,1.073,0.403,0.058,0.035,0.053,0.015,0.412,0.532,19.0,20.4,7.0,18.0,10.0
42016,1610612744,GSW,Golden State Warriors,Spotup,Defensive,0.667,17,0.205,1.018,0.402,0.054,0.061,0.051,0.008,0.402,0.523,23.0,23.4,8.0,20.0,12.0
42016,1610612759,SAS,San Antonio Spurs,Spotup,Defensive,0.267,16,0.212,1.13,0.419,0.048,0.031,0.045,0.008,0.424,0.564,22.0,25.0,9.0,21.0,12.0
42016,1610612739,CLE,Cleveland Cavaliers,Spotup,Defensive,0.533,18,0.193,1.052,0.41,0.05,0.052,0.045,0.005,0.415,0.531,21.0,22.3,8.0,19.0,11.0
