player,age,team,pos,g,gs,mp,fg,fga,fg_pct,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
Ja Morant,25.0,MEM,PG,50.0,50.0,30.4,8.1,17.8,0.454,1.8,5.7,0.309,6.3,12.1,0.523,0.504,5.3,6.4,0.824,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2,moranja01
James Harden,35.0,LAC,PG,79.0,79.0,35.3,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,hardeja01
Jaylen Brown,28.0,BOS,SF,63.0,63.0,34.3,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,brownja02
DeMar DeRozan,35.0,SAC,SF,77.0,77.0,35.9,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,derozde01
Brandon Ingram,27.0,NOP,SF,18.0,18.0,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,ingrabr01
Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,29.8,8.0,16.4,0.488,2.0,5.3,0.375,6.0,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,jacksja02
Norman Powell,31.0,LAC,SG,60.0,60.0,32.6,7.6,15.8,0.484,3.0,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,powelno01
Jalen Williams,23.0,OKC,SG,69.0,69.0,32.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12.0,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,willija06
Kawhi Leonard,33.0,LAC,SF,37.0,37.0,31.9,8.4,16.8,0.498,2.1,5.1,0.411,6.3,11.7,0.536,0.56,2.6,3.3,0.81,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5,leonaka01
Jamal Murray,27.0,DEN,PG,67.0,67.0,36.1,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.3,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,murraja01
Trey Murphy III,24.0,NOP,SF,53.0,51.0,35.0,7.2,15.8,0.454,3.0,8.3,0.361,4.2,7.6,0.556,0.548,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,murphtr02
RJ Barrett,24.0,TOR,SF,58.0,58.0,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,barrerj01
CJ McCollum,33.0,NOP,PG,56.0,56.0,32.7,7.9,17.9,0.444,3.1,8.2,0.373,4.9,9.7,0.505,0.53,2.2,3.1,0.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1,mccolcj01
Jalen Green,22.0,HOU,SG,82.0,82.0,32.9,7.4,17.5,0.423,2.9,8.1,0.354,4.6,9.5,0.482,0.505,3.3,4.1,0.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,greenja05
Brandon Miller,22.0,CHO,SF,27.0,27.0,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,millebr02
Darius Garland,25.0,CLE,PG,75.0,75.0,30.7,7.4,15.7,0.472,2.8,7.1,0.401,4.6,8.6,0.53,0.562,3.0,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,garlada01
Jordan Poole,25.0,WAS,SG,68.0,68.0,29.4,6.7,15.5,0.432,3.5,9.1,0.378,3.3,6.4,0.51,0.544,3.6,4.0,0.883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,poolejo01
Coby White,24.0,CHI,SG,74.0,73.0,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.9,7.3,0.544,0.55,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,whiteco01
Miles Bridges,26.0,CHO,PF,64.0,64.0,31.7,7.3,17.0,0.431,2.2,7.0,0.313,5.1,10.0,0.513,0.495,3.5,4.0,0.87,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3,bridgmi02
Austin Reaves,26.0,LAL,SG,73.0,73.0,34.9,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,reaveau01
Pascal Siakam,30.0,IND,PF,78.0,78.0,32.7,7.9,15.2,0.519,1.6,4.2,0.389,6.2,11.0,0.568,0.572,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,siakapa01
Kristaps Porziņģis,29.0,BOS,C,42.0,42.0,28.8,6.6,13.7,0.483,2.5,6.0,0.412,4.1,7.7,0.537,0.572,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,porzikr01
Scottie Barnes,23.0,TOR,PF,65.0,65.0,32.8,7.3,16.4,0.446,1.2,4.3,0.271,6.1,12.0,0.508,0.482,3.5,4.6,0.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3,barnesc01
Anfernee Simons,25.0,POR,SG,70.0,70.0,32.7,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,0.521,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,simonan01
Desmond Bane,26.0,MEM,SG,69.0,68.0,32.0,7.1,14.8,0.484,2.4,6.1,0.392,4.8,8.7,0.548,0.565,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,banede01
Domantas Sabonis,28.0,SAC,C,70.0,70.0,34.7,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,sabondo01
Alperen Şengün,22.0,HOU,C,76.0,76.0,31.5,7.5,15.0,0.496,0.3,1.2,0.233,7.2,13.9,0.519,0.505,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,sengual01
John Collins,27.0,UTA,PF,40.0,31.0,30.5,7.0,13.3,0.527,1.5,3.7,0.399,5.5,9.6,0.577,0.583,3.5,4.1,0.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,collijo01
Lauri Markkanen,27.0,UTA,PF,47.0,47.0,31.4,6.3,14.9,0.423,2.9,8.5,0.346,3.4,6.4,0.525,0.521,3.4,3.9,0.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,markkla01
Jalen Johnson,23.0,ATL,SF,36.0,36.0,35.7,7.5,15.1,0.5,1.2,3.9,0.312,6.3,11.1,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,johnsja05
Cameron Johnson,28.0,BRK,PF,57.0,57.0,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.4,5.9,0.578,0.582,3.5,3.9,0.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,johnsca02
Julius Randle,30.0,MIN,PF,69.0,69.0,32.3,6.6,13.6,0.485,1.6,4.6,0.344,5.0,9.1,0.555,0.542,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,randlju01
Tyrese Haliburton,24.0,IND,PG,73.0,73.0,33.6,6.5,13.8,0.473,3.0,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,halibty01
Evan Mobley,23.0,CLE,PF,71.0,71.0,30.5,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,mobleev01
Shaedon Sharpe,21.0,POR,SG,72.0,52.0,31.3,6.9,15.3,0.452,2.0,6.6,0.311,4.9,8.8,0.557,0.519,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,sharpsh01
Nikola Vučević,34.0,CHI,C,73.0,72.0,31.2,7.5,14.2,0.53,1.8,4.4,0.402,5.8,9.8,0.587,0.592,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,vucevni01
Collin Sexton,26.0,UTA,SG,63.0,61.0,27.9,6.6,13.8,0.48,1.7,4.3,0.406,4.9,9.5,0.513,0.543,3.4,4.0,0.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,sextoco01
Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,33.7,6.9,13.6,0.504,2.5,6.4,0.395,4.4,7.3,0.599,0.596,1.9,2.5,0.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,portemi01
Bam Adebayo,27.0,MIA,C,78.0,78.0,34.3,6.9,14.3,0.485,1.0,2.8,0.357,5.9,11.4,0.517,0.521,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,adebaba01
Andrew Wiggins,29.0,2TM,SF,60.0,60.0,30.7,6.3,14.0,0.448,2.2,5.8,0.374,4.1,8.2,0.501,0.526,3.3,4.3,0.763,1.5,3.0,4.5,2.6,1.0,0.8,1.7,1.7,18.0,wiggian01
Andrew Wiggins,29.0,GSW,SF,43.0,43.0,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6,wiggian01
Andrew Wiggins,29.0,MIA,SF,17.0,17.0,32.1,6.8,14.8,0.458,2.1,5.9,0.36,4.6,8.9,0.523,0.53,3.4,4.6,0.731,1.4,2.9,4.2,3.3,1.2,1.0,2.5,1.8,19.0,wiggian01
OG Anunoby,27.0,NYK,PF,74.0,74.0,36.6,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,anunoog01
Mikal Bridges,28.0,NYK,SF,82.0,82.0,37.0,7.2,14.4,0.5,2.0,5.6,0.354,5.2,8.8,0.594,0.57,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,bridgmi01
Jaden Ivey,22.0,DET,SG,30.0,30.0,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,iveyja01
Jimmy Butler,35.0,2TM,SF,55.0,55.0,31.7,5.5,10.9,0.504,0.6,1.9,0.308,4.9,9.0,0.546,0.531,6.0,7.1,0.842,2.3,3.1,5.4,5.4,1.4,0.3,1.3,0.9,17.5,butleji01
Jimmy Butler,35.0,MIA,PF,25.0,25.0,30.6,5.7,10.5,0.54,0.5,1.4,0.361,5.2,9.1,0.568,0.565,5.2,6.4,0.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,butleji01
Jimmy Butler,35.0,GSW,SF,30.0,30.0,32.7,5.3,11.1,0.476,0.6,2.3,0.279,4.7,8.9,0.526,0.504,6.7,7.7,0.87,2.3,3.2,5.5,5.9,1.7,0.3,1.5,1.0,17.9,butleji01
Dejounte Murray,28.0,NOP,PG,31.0,31.0,32.6,6.3,15.9,0.393,1.7,5.6,0.299,4.6,10.3,0.444,0.445,3.3,4.0,0.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,murrade01
Malik Monk,26.0,SAC,SG,65.0,45.0,31.6,6.3,14.4,0.439,2.1,6.6,0.325,4.2,7.9,0.534,0.513,2.4,2.7,0.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,monkma01
Immanuel Quickley,25.0,TOR,PG,33.0,33.0,27.8,5.6,13.3,0.42,2.6,6.8,0.378,3.0,6.5,0.465,0.517,3.4,3.9,0.867,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1,quickim01
De'Andre Hunter,27.0,2TM,SF,64.0,9.0,27.2,5.6,11.9,0.47,2.5,6.1,0.405,3.1,5.8,0.537,0.573,3.4,4.0,0.846,0.7,3.3,4.0,1.4,0.8,0.2,1.3,2.4,17.0,huntede01
De'Andre Hunter,27.0,ATL,SF,37.0,4.0,28.8,6.1,13.3,0.461,2.6,6.7,0.393,3.5,6.6,0.531,0.56,4.1,4.8,0.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,huntede01
De'Andre Hunter,27.0,CLE,SF,27.0,5.0,25.0,4.9,10.0,0.485,2.2,5.2,0.426,2.6,4.8,0.55,0.596,2.4,2.9,0.821,0.6,3.6,4.2,1.3,0.7,0.3,0.9,2.5,14.3,huntede01
Bradley Beal,31.0,PHO,SG,53.0,38.0,32.1,6.5,13.1,0.497,1.9,5.0,0.386,4.6,8.1,0.565,0.571,2.1,2.6,0.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0,bealbr01
Deni Avdija,24.0,POR,SF,72.0,54.0,30.0,5.6,11.7,0.476,1.7,4.8,0.365,3.8,7.0,0.552,0.55,4.0,5.2,0.78,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,avdijde01
Keyonte George,21.0,UTA,PG,67.0,35.0,31.5,5.4,13.7,0.391,2.6,7.6,0.343,2.8,6.1,0.449,0.485,3.5,4.3,0.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,georgke01
Ivica Zubac,27.0,LAC,C,80.0,80.0,32.8,7.4,11.8,0.628,0.0,0.0,,7.4,11.8,0.628,0.628,2.0,3.0,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,zubaciv01
Derrick White,30.0,BOS,SG,76.0,76.0,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,whitede01
Malik Beasley,28.0,DET,SG,82.0,18.0,27.8,5.6,13.1,0.43,3.9,9.3,0.416,1.7,3.7,0.466,0.579,1.2,1.7,0.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,beaslma01
Devin Vassell,24.0,SAS,SG,64.0,53.0,31.0,6.2,13.9,0.443,2.5,6.7,0.368,3.7,7.2,0.513,0.532,1.5,1.9,0.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,vassede01
Jordan Clarkson,32.0,UTA,SG,37.0,9.0,26.0,5.4,13.3,0.408,2.3,6.3,0.362,3.2,7.1,0.448,0.493,3.1,3.9,0.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,clarkjo01
Paul George,34.0,PHI,PF,41.0,41.0,32.5,6.0,13.9,0.43,2.3,6.5,0.358,3.6,7.4,0.493,0.514,1.9,2.4,0.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,georgpa01
Jalen Suggs,23.0,ORL,PG,35.0,35.0,28.6,5.6,13.7,0.41,2.2,6.9,0.314,3.5,6.8,0.506,0.489,2.8,3.1,0.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,suggsja01
Bennedict Mathurin,22.0,IND,SF,72.0,49.0,29.8,5.4,11.8,0.458,1.4,4.0,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,mathube01
Myles Turner,28.0,IND,C,72.0,72.0,30.2,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,turnemy01
Christian Braun,23.0,DEN,SG,79.0,77.0,33.9,6.0,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,braunch01
Jonathan Kuminga,22.0,GSW,PF,47.0,10.0,24.3,5.5,12.1,0.454,1.0,3.2,0.305,4.5,8.9,0.508,0.495,3.3,5.0,0.668,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,kuminjo01
Jared McCain,20.0,PHI,SG,23.0,8.0,25.7,5.5,11.9,0.46,2.2,5.8,0.383,3.3,6.1,0.532,0.553,2.1,2.4,0.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,mccaija01
Mark Williams,23.0,CHO,C,44.0,41.0,26.6,6.1,10.2,0.604,0.0,0.1,0.0,6.1,10.1,0.609,0.604,3.0,3.7,0.804,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,willima07
Kelly Oubre Jr.,29.0,PHI,SF,60.0,57.0,34.6,5.8,12.4,0.47,1.2,4.0,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,oubreke01
Chet Holmgren,22.0,OKC,C,32.0,32.0,27.4,5.2,10.7,0.49,1.4,3.6,0.379,3.8,7.0,0.547,0.554,3.2,4.2,0.754,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,15.0,holmgch01
Kyle Kuzma,29.0,2TM,PF,65.0,62.0,29.8,5.7,13.0,0.436,1.5,4.8,0.307,4.2,8.2,0.512,0.493,2.0,3.1,0.634,0.8,4.9,5.7,2.3,0.6,0.3,2.2,1.8,14.8,kuzmaky01
