player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
202692,Alec Burks,Alec,1610612762,UTA,24.0,14,4,10,0.286,51.0,0.276,0.385,0.326,0.8,0.32,0.083,0.059,0.0,0.161,0.116,0.25,0.273,0.167,0.0,0.5,0.222,0.08,0.336,242,270,238,370,189,49,24,39,11,79,250,284,270,224,291,102,360,158,200,404,272,275,36
203187,Chris Johnson,Chris,1610612762,UTA,26.0,18,6,12,0.333,20.0,0.055,0.0,0.103,0.0,0.375,0.0,0.0,0.286,0.222,0.24,0.0,0.0,0.0,0.5,0.0,0.308,0.0,0.0,211,235,264,330,286,375,342,305,209,41,299,312,105,147,134,287,1,237,37,1,367,326,359
202324,Derrick Favors,Derrick,1610612762,UTA,24.0,30,12,18,0.4,127.0,0.191,0.237,0.194,0.0,0.0,0.254,0.245,0.444,0.275,0.333,0.108,0.143,0.308,0.5,0.125,0.13,0.234,0.226,107,144,361,291,58,133,112,159,209,275,96,109,56,86,51,216,250,77,37,262,117,108,113
202407,Elijah Millsap,Elijah,1610612762,UTA,28.0,3,2,1,0.667,4.0,0.143,0.0,0.125,0.0,1.0,0.0,0.0,0.25,0.167,0.2,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,357,326,31,61,373,213,342,262,209,1,299,312,120,214,178,287,435,237,200,1,424,326,359
202330,Gordon Hayward,Gordon,1610612762,UTA,26.0,42,14,28,0.333,203.0,0.256,0.241,0.233,0.133,0.173,0.367,0.321,0.216,0.152,0.172,0.305,0.385,0.263,0.083,0.227,0.168,0.319,0.266,16,119,435,330,4,62,105,108,166,182,45,59,139,240,211,78,410,102,178,323,184,58,78
203481,Jeff Withey,Jeff,1610612762,UTA,26.0,3,1,2,0.333,11.0,0.167,0.333,0.231,0.0,0.0,0.0,0.0,0.0,0.125,0.091,0.0,0.143,0.0,0.333,0.0,0.333,0.0,0.222,357,362,75,330,321,171,38,111,209,275,299,312,270,279,330,287,250,237,70,1,376,326,120
204060,Joe Ingles,Joe,1610612762,UTA,28.0,33,11,22,0.333,54.0,0.076,0.096,0.09,0.231,0.186,0.0,0.0,0.0,0.161,0.116,0.118,0.118,0.375,0.0,0.0,0.211,0.0,0.084,81,157,412,330,185,346,277,320,114,171,299,312,270,224,291,204,224,45,200,1,253,326,311
203526,Raul Neto,Raul,1610612762,UTA,24.0,15,5,10,0.333,36.0,0.155,0.125,0.157,0.4,0.286,0.207,0.256,0.0,0.1,0.069,0.333,0.0,0.5,0.25,0.0,0.235,0.25,0.171,233,252,238,330,227,193,236,208,46,96,128,99,270,320,351,66,1,15,107,1,286,90,181
203918,Rodney Hood,Rodney,1610612762,UTA,23.0,38,14,24,0.368,174.0,0.246,0.279,0.294,0.276,0.363,0.163,0.143,0.049,0.187,0.144,0.255,0.133,0.133,0.048,0.353,0.202,0.156,0.251,38,119,422,313,16,70,79,55,92,46,163,196,257,191,251,101,245,189,194,385,237,195,87
203497,Rudy Gobert,Rudy,1610612762,UTA,24.0,25,7,18,0.28,109.0,0.111,0.074,0.079,0.0,0.0,0.25,0.311,0.375,0.254,0.289,0.108,0.083,0.0,0.636,0.1,0.194,0.326,0.106,151,215,361,374,92,293,305,332,209,275,97,66,72,106,86,216,189,237,24,249,225,55,270
202714,Shelvin Mack,Shelvin,1610612762,UTA,26.0,12,3,9,0.25,42.0,0.158,0.179,0.187,0.25,0.24,0.043,0.056,0.091,0.059,0.071,0.091,0.125,0.0,0.0,0.286,0.324,0.048,0.149,257,293,223,380,210,186,184,165,101,130,282,287,222,347,349,233,232,237,200,351,374,309,207
202353,Tibor Pleiss,Tibor,1610612762,UTA,26.0,1,1,0,1.0,4.0,0.167,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,404,362,1,1,378,171,342,90,209,275,299,312,270,108,116,287,1,237,200,1,427,326,359
202344,Trevor Booker,Trevor,1610612762,UTA,28.0,27,8,19,0.296,91.0,0.138,0.137,0.113,0.111,0.077,0.244,0.271,0.364,0.327,0.338,0.2,0.143,0.167,0.385,0.143,0.259,0.229,0.167,131,195,379,368,115,228,229,281,176,240,103,86,77,62,50,127,250,158,65,275,326,114,188
203504,Trey Burke,Trey,1610612762,UTA,23.0,19,7,12,0.368,70.0,0.2,0.184,0.248,0.4,0.381,0.07,0.125,0.0,0.118,0.075,0.125,0.13,0.4,0.0,0.4,0.065,0.139,0.173,203,215,264,313,153,115,174,99,46,37,262,213,270,294,347,188,242,40,200,390,69,214,177
1626168,Trey Lyles,Trey,1610612762,UTA,20.0,14,5,9,0.357,24.0,0.133,0.077,0.133,0.2,0.25,0.167,0.133,0.25,0.308,0.294,0.429,0.167,0.0,0.0,0.0,0.176,0.2,0.116,242,252,223,321,261,238,297,248,127,121,159,206,120,66,84,47,275,237,200,1,194,134,262
