group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
,201167,Arron Afflalo,,1610612752,NYK,30.0,31,11,20,0.355,124.0,0.239,0.239,0.275,0.286,0.293,0.169,0.149,0.154,0.143,0.145,0.156,0.139,0.333,0.05,0.182,0.208,0.133,0.223,100,157,395,323,64,76,109,70,83,94,157,191,173,249,249,169,249,52,193,295,249,218,119
,2546,Carmelo Anthony,,1610612752,NYK,32.0,31,13,18,0.419,117.0,0.354,0.316,0.343,0.273,0.306,0.369,0.385,0.129,0.284,0.241,0.389,0.433,0.3,0.071,0.5,0.188,0.406,0.33,100,129,361,282,76,19,55,28,94,87,44,38,189,83,132,53,421,80,182,404,217,29,41
,203921,Cleanthony Early,,1610612752,NYK,25.0,2,0,2,0.0,5.0,0.118,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.333,0.0,0.0,0.0,0.143,0.25,0.0,374,408,75,408,364,275,342,327,209,275,299,312,270,172,278,287,380,237,200,1,133,90,359
,202682,Derrick Williams,,1610612752,NYK,25.0,8,3,5,0.375,36.0,0.177,0.207,0.197,0.167,0.067,0.294,0.3,0.667,0.25,0.346,0.067,0.0,0.0,0.0,0.5,0.0,0.308,0.222,296,293,153,308,229,156,142,155,145,250,68,70,19,108,46,262,1,237,200,404,1,62,120
,1626170,Jerian Grant,,1610612752,NYK,23.0,11,3,8,0.273,21.0,0.288,0.313,0.242,0.0,0.25,0.421,0.478,0.0,0.154,0.111,0.714,0.286,0.0,0.0,0.0,0.095,0.375,0.346,269,293,204,376,279,41,58,103,209,121,30,21,270,234,298,10,367,237,200,1,81,34,33
,101181,Jose Calderon,,1610612752,NYK,34.0,27,11,16,0.407,98.0,0.075,0.063,0.076,0.133,0.15,0.0,0.0,0.045,0.197,0.159,0.353,0.16,0.333,0.071,0.0,0.1,0.143,0.052,131,157,324,288,108,351,314,342,166,199,299,312,260,182,233,65,272,52,182,1,82,206,347
,202338,Kevin Seraphin,,1610612752,NYK,26.0,5,2,3,0.4,15.0,0.121,0.25,0.143,0.0,0.0,0.0,0.0,0.0,0.308,0.308,0.5,0.143,0.0,0.4,0.0,0.333,0.0,0.182,329,326,109,291,295,262,93,227,209,275,299,312,270,66,75,22,250,237,57,1,376,326,170
,204001,Kristaps Porziņģis,,1610612752,NYK,20.0,30,11,19,0.367,84.0,0.207,0.216,0.2,0.077,0.136,0.419,0.388,0.4,0.255,0.293,0.12,0.095,0.25,0.714,0.0,0.176,0.353,0.259,107,157,379,316,130,110,133,144,193,214,31,37,68,105,85,202,205,105,16,1,194,40,82
,203124,Kyle O'Quinn,,1610612752,NYK,26.0,7,3,4,0.429,5.0,0.222,0.333,0.182,0.0,0.0,0.143,0.222,1.0,0.167,0.444,0.0,0.333,0.0,0.0,0.0,0.143,0.167,0.231,301,293,127,269,360,91,38,173,209,275,184,118,1,214,20,287,380,237,200,1,133,178,109
,202498,Lance Thomas,,1610612752,NYK,28.0,25,11,14,0.44,72.0,0.149,0.149,0.148,0.111,0.118,0.17,0.158,0.0,0.104,0.088,0.0,0.211,0.2,0.077,0.167,0.25,0.139,0.154,151,157,298,261,149,202,216,220,176,226,156,180,270,313,335,287,318,139,180,285,299,214,204
,204038,Langston Galloway,,1610612752,NYK,24.0,35,13,22,0.371,115.0,0.17,0.211,0.203,0.5,0.297,0.048,0.065,0.0,0.141,0.115,0.162,0.118,0.143,0.056,0.333,0.301,0.079,0.175,70,129,412,312,86,166,136,140,21,92,278,278,270,259,294,163,224,177,192,369,364,277,175
,200811,Lou Amundson,,1610612752,NYK,33.0,3,2,1,0.667,8.0,0.059,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.333,0.286,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.143,357,326,31,61,343,371,342,379,209,275,97,100,270,41,88,287,1,237,200,1,229,134,218
,201577,Robin Lopez,,1610612752,NYK,28.0,28,12,16,0.429,90.0,0.141,0.188,0.125,0.0,0.0,0.224,0.215,0.55,0.238,0.313,0.054,0.154,0.0,0.636,0.111,0.209,0.143,0.184,128,144,324,269,117,219,169,262,209,275,112,127,30,130,73,269,264,237,24,254,250,206,165
,2756,Sasha Vujacic,,1610612752,NYK,32.0,15,4,11,0.267,34.0,0.124,0.0,0.138,0.0,0.25,0.133,0.111,0.0,0.2,0.143,0.286,0.083,0.2,0.0,1.0,0.258,0.087,0.054,233,270,251,377,234,258,342,240,209,121,192,230,270,172,252,83,189,139,200,430,324,262,345
