close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
203110,Draymond Green,1610612744,GSW,F,27.0,17,17,0.413,44,123,0.358,0.382,-0.025
202691,Klay Thompson,1610612744,GSW,G,27.0,17,17,0.471,23,97,0.237,0.391,-0.154
201142,Kevin Durant,1610612744,GSW,F,28.0,15,15,0.463,35,93,0.376,0.372,0.004
201939,Stephen Curry,1610612744,GSW,G,29.0,17,17,0.619,32,83,0.386,0.385,0.001
2738,Andre Iguodala,1610612744,GSW,G-F,33.0,16,16,0.607,32,82,0.39,0.38,0.01
2561,David West,1610612744,GSW,F,36.0,17,15,0.465,12,47,0.255,0.381,-0.125
2585,Zaza Pachulia,1610612744,GSW,C,33.0,15,13,0.39,7,41,0.171,0.384,-0.213
201580,JaVale McGee,1610612744,GSW,C,29.0,16,14,0.38,11,38,0.289,0.372,-0.083
203546,Ian Clark,1610612744,GSW,G,26.0,15,14,0.636,16,35,0.457,0.395,0.062
2733,Shaun Livingston,1610612744,GSW,G,31.0,14,11,0.507,10,35,0.286,0.379,-0.093
1627775,Patrick McCaw,1610612744,GSW,G,21.0,13,11,0.448,13,26,0.5,0.382,0.118
2440,Matt Barnes,1610612744,GSW,F,37.0,10,9,0.424,7,14,0.5,0.375,0.125
203949,James Michael McAdoo,1610612744,GSW,F,24.0,7,3,0.267,1,4,0.25,0.364,-0.114
1627745,Damian Jones,1610612744,GSW,C,22.0,3,2,0.5,1,3,0.333,0.384,-0.051
