TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,18,10,8,0.556,49.1,14.9,12.8,9.8,41.8,13.7,15.2,12.7,48.8,4,3,14,5,4,6,10,11,10,5,14,13,15
1610612738,Boston Celtics,5,1,4,0.2,49.6,14.9,16.5,11.8,41.3,18.6,12.8,12.4,43.4,12,12,1,12,12,7,2,6,13,15,7,11,4
1610612751,Brooklyn Nets,12,7,5,0.583,49.9,17.0,10.6,9.2,41.4,14.2,14.7,12.3,46.4,5,5,9,3,5,2,15,12,12,9,12,9,12
1610612742,Dallas Mavericks,7,3,4,0.429,51.7,12.2,15.7,5.8,44.6,13.1,9.1,10.6,44.0,9,9,1,8,9,13,5,16,8,4,2,5,7
1610612743,Denver Nuggets,10,4,6,0.4,49.8,11.8,16.5,11.1,45.8,15.3,9.7,11.6,43.9,8,8,12,9,8,14,3,7,6,13,3,6,6
1610612746,LA Clippers,19,10,9,0.526,51.3,15.6,10.6,10.7,41.6,14.6,13.6,7.3,43.5,3,3,16,7,3,4,14,10,11,11,10,1,5
1610612747,Los Angeles Lakers,6,2,4,0.333,50.5,14.4,14.9,12.8,47.0,16.5,11.4,13.7,42.8,10,10,1,10,11,11,7,5,5,14,5,16,3
1610612763,Memphis Grizzlies,5,1,4,0.2,48.0,17.4,16.0,15.0,58.8,13.0,14.2,10.0,46.8,12,12,1,12,12,1,4,1,1,3,11,4,13
1610612748,Miami Heat,4,0,4,0.0,47.9,15.3,10.7,8.5,36.0,12.7,18.2,13.6,45.7,16,16,1,16,16,5,12,14,16,2,16,15,9
1610612749,Milwaukee Bucks,23,16,7,0.696,49.2,14.4,16.5,14.5,51.3,14.9,11.1,8.8,40.1,1,1,13,1,1,10,1,2,2,12,4,2,1
1610612752,New York Knicks,5,1,4,0.2,50.5,10.5,14.9,6.3,40.8,14.3,9.1,8.8,41.3,12,12,1,12,12,16,6,15,14,10,1,3,2
1610612755,Philadelphia 76ers,12,7,5,0.583,47.7,14.4,11.7,14.2,49.0,13.8,13.4,11.7,45.9,5,5,9,3,6,9,11,3,4,8,9,7,10
1610612756,Phoenix Suns,22,14,8,0.636,49.9,15.9,10.6,10.9,45.2,13.8,13.3,12.3,46.2,2,2,14,2,2,3,13,9,7,7,8,10,11
1610612757,Portland Trail Blazers,6,2,4,0.333,50.8,14.8,9.4,11.1,42.6,12.4,18.2,12.3,45.3,10,10,1,10,10,8,16,8,9,1,15,8,8
1610612762,Utah Jazz,11,6,5,0.545,49.3,13.5,13.6,8.7,40.5,19.0,14.8,13.4,48.2,7,7,9,6,7,12,9,13,15,16,13,14,14
1610612764,Washington Wizards,5,1,4,0.2,46.7,11.7,14.0,13.8,49.4,13.8,11.9,12.6,51.8,12,12,1,12,12,15,8,4,3,6,6,12,16
